"","trial","Environment","meanReward","maxReward","Model"
"56",15,"Rough",54.179330015277,83.2575378586687,"Lazy-UCB"
"57",16,"Rough",53.8003019824184,84.0024188016956,"Lazy-UCB"
"58",17,"Rough",53.9152565157777,84.7225229926266,"Lazy-UCB"
"59",18,"Rough",54.1121170193289,85.3844317871913,"Lazy-UCB"
"60",19,"Rough",54.1924100258568,85.9553602555098,"Lazy-UCB"
"61",20,"Rough",54.3741413236335,86.5575675281071,"Lazy-UCB"
"62",21,"Rough",54.4674143707257,87.1182750571807,"Lazy-UCB"
"63",22,"Rough",54.5750114392752,87.6089838601928,"Lazy-UCB"
"64",23,"Rough",54.6298642813127,88.0688951910662,"Lazy-UCB"
"65",24,"Rough",54.9008675910023,88.5336553352927,"Lazy-UCB"
"66",25,"Rough",54.8720367984992,88.9542994608297,"Lazy-UCB"
"67",26,"Rough",54.6947857285294,89.3836693662498,"Lazy-UCB"
"68",27,"Rough",55.0056638326443,89.7395146163736,"Lazy-UCB"
"69",28,"Rough",55.6948939031839,90.1370158162854,"Lazy-UCB"
"70",29,"Rough",55.8174351987676,90.5035347010916,"Lazy-UCB"
"71",30,"Rough",56.0120958363987,90.8548682328655,"Lazy-UCB"
"72",31,"Rough",56.3164929380917,91.1946771459174,"Lazy-UCB"
"73",32,"Rough",56.4365043593634,91.4947257001242,"Lazy-UCB"
"74",33,"Rough",56.4475920151777,91.8105940585024,"Lazy-UCB"
"75",34,"Rough",56.5423233044875,92.1132652353253,"Lazy-UCB"
"76",35,"Rough",56.6806874225708,92.4156495103928,"Lazy-UCB"
"77",36,"Rough",57.0068033858749,92.6727438571425,"Lazy-UCB"
"78",37,"Rough",56.8195277159353,92.9536448574423,"Lazy-UCB"
"79",38,"Rough",57.3912015075673,93.2334019222972,"Lazy-UCB"
"80",39,"Rough",57.4720704929528,93.4569719950555,"Lazy-UCB"
"81",40,"Rough",57.0881080529183,93.6503728157964,"Lazy-UCB"
"82",41,"Rough",57.1396679298453,93.8772017900363,"Lazy-UCB"
