"","X","setting","l0","l1","m","d"
"76",0,"mrs",0.9,0.4,0.008234146393975,0.0412484859852
"77",0,"mrs",0.9,0.5,0.0005424309847515,0.0333464294876
"78",0,"mrs",0.9,0.6,4.274625098335e-11,1.531758860705e-11
"79",0,"mrs",0.9,0.7,2.694378054e-11,3.776685696875e-12
"80",0,"mrs",0.9,0.8,2.04636307899e-11,5.30829997127e-12
"81",0,"mrs",0.9,0.9,2.819433575495e-11,8.2617801489e-12
"82",0,"es",0.1,0.1,0.1263152766125,0.0434504254487
"83",0,"es",0.1,0.2,0.8747209671465,0.405636908538
"84",0,"es",0.1,0.3,0.8261065049025,0.402150507973
"85",0,"es",0.1,0.4,0.736434333503,0.3314129062825
"86",0,"es",0.1,0.5,0.738025908691,0.2765334708445
"87",0,"es",0.1,0.6,0.552656509098,0.255066042606
"88",0,"es",0.1,0.7,0.854398207622,0.257383153442
"89",0,"es",0.1,0.8,0.949651806943,0.218592660699
"90",0,"es",0.1,0.9,1.29488627454,0.401483940089
"91",0,"es",0.2,0.1,0.1013217745492,0.1074289473015
"92",0,"es",0.2,0.2,0.1155406473175,0.06469128021435
"93",0,"es",0.2,0.3,0.07466262061965,0.04699182221365
"94",0,"es",0.2,0.4,0.2036355390405,0.105183484429
"95",0,"es",0.2,0.5,0.373493322023,0.192195516321
"96",0,"es",0.2,0.6,0.2519389905215,0.0935552810222
"97",0,"es",0.2,0.7,0.7180080603645,0.232287079253
"98",0,"es",0.2,0.8,0.5090448353755,0.15732505309
"99",0,"es",0.2,0.9,0.4599084826715,0.1800873462585
"100",0,"es",0.3,0.1,0.1421545775555,0.104842520727
"101",0,"es",0.3,0.2,0.03626450843715,0.0674202594533
"102",0,"es",0.3,0.3,0.007070578500135,0.0205744042174
"103",0,"es",0.3,0.4,0.0385435118433,0.061205677913
"104",0,"es",0.3,0.5,0.104766124285,0.131333429554
"105",0,"es",0.3,0.6,0.0822725055716,0.09540960739455
"106",0,"es",0.3,0.7,0.022319614598,0.06881121240945
"107",0,"es",0.3,0.8,0.07286058736005,0.1171776467715
"108",0,"es",0.3,0.9,0.143078029831,0.1340848159025
"109",0,"es",0.4,0.1,0.143362915404,0.1271498346635
"110",0,"es",0.4,0.2,0.09868849109385,0.09815608025995
"111",0,"es",0.4,0.3,0.0148950161429,0.0469774385285
"112",0,"es",0.4,0.4,0.00171392865491,0.0202081953763
"113",0,"es",0.4,0.5,0.002308862786665,0.01784132494015
"114",0,"es",0.4,0.6,0.00040040392970321,0.00472955304171062
"115",0,"es",0.4,0.7,0.02492063393775,0.0718401711629
"116",0,"es",0.4,0.8,0.012199310062,0.03181964449865
