"","trial","m"
"494",14,1.21331889184764
"495",15,1.20446801810839
"496",16,1.21655603688208
"497",17,1.22859327929894
"498",18,1.23573999804016
"499",19,1.23553972560728
"500",20,1.23553972560728
"501",21,1.20799268102832
"502",22,1.240351342322
"503",23,1.24187985931382
"504",24,1.24187985931382
"505",25,1.24187985931382
"506",26,1.2462580066155
"507",27,1.24605773418262
"508",28,1.2462580066155
"509",29,1.24605773418262
"510",30,1.23022400678572
"511",31,1.2462580066155
"512",32,1.24605773418262
"513",33,1.23637276611749
"514",34,1.2462580066155
"515",35,1.2462580066155
"516",36,1.2462580066155
"517",37,1.2462580066155
"518",38,1.24605773418262
"519",39,1.23468850343094
"520",40,1.24605773418262
"521",1,-0.0873186170589851
"522",2,0.190254453997327
"523",3,0.457655544737116
"524",4,0.667188839144409
"525",5,0.795003262560473
"526",6,0.884508847809057
"527",7,0.909108421098296
"528",8,0.941310564664551
"529",9,0.976276727274799
"530",10,1.0079930755288
"531",11,1.03417524684248
"532",12,1.04647888909717
"533",13,1.05390390855629
"534",14,1.07015542560288
"535",15,1.06385760592335
"536",16,1.05614258434784
"537",17,1.06392660212143
"538",18,1.06879004397785
"539",19,1.07696444877275
"540",20,1.08199574980913
"541",21,1.0715888102016
"542",22,1.10685018448281
"543",23,1.09635666744678
"544",24,1.10685018448281
"545",25,1.10685018448281
"546",26,1.10635669186487
"547",27,1.10475736894836
"548",28,1.10685018448281
"549",29,1.12601798303395
"550",30,1.12601798303395
"551",31,1.12601798303395
"552",32,1.12601798303395
"553",33,1.12601798303395
"554",34,1.12601798303395
"555",35,1.12601798303395
"556",36,1.12601798303395
"557",37,1.12601798303395
"558",38,1.12601798303395
"559",39,1.12601798303395
"560",40,1.12521509545961
"561",1,0.0778944298426446
"562",2,0.324440374824417
"563",3,0.561457155981998
"564",4,0.663032657076733
"565",5,0.749452268650023
"566",6,0.846842275852054
"567",7,0.926703735044094
"568",8,0.988382319994717
"569",9,1.02040514808781
"570",10,1.03135958101107
"571",11,1.08868364747249
"572",12,1.09996496815288
"573",13,1.08506333123704
"574",14,1.10529160838027
"575",15,1.12090719082669
"576",16,1.14124951098533
"577",17,1.14124951098533
"578",18,1.14124951098533
"579",19,1.14124951098533
"580",20,1.14124951098533
"581",21,1.14124951098533
"582",22,1.14124951098533
"583",23,1.14124951098533
"584",24,1.14124951098533
"585",25,1.14124951098533
"586",26,1.15417111006068
"587",27,1.15417111006068
"588",28,1.15417111006068
"589",29,1.15417111006068
"590",30,1.15417111006068
"591",31,1.15417111006068
"592",32,1.15417111006068
"593",33,1.15417111006068
"594",34,1.15417111006068
"595",35,1.15417111006068
"596",36,1.15417111006068
"597",37,1.15417111006068
"598",38,1.15417111006068
"599",39,1.1454513695637
"600",40,1.15417111006068
"601",1,0.170685510003982
"602",2,0.503581156905527
"603",3,0.706215159070699
"604",4,0.927052416797148
"605",5,0.967739390005814
"606",6,1.05887621410977
"607",7,1.0841910858826
"608",8,1.18602607974804
"609",9,1.19920749528313
"610",10,1.19734971346603
"611",11,1.22906137200527
"612",12,1.22965782579233
"613",13,1.22276303315573
"614",14,1.22836871006397
"615",15,1.23041181528822
"616",16,1.22516346759211
"617",17,1.23234252609901
"618",18,1.23995169415199
"619",19,1.23995169415199
"620",20,1.23995169415199
"621",21,1.22459828444908
"622",22,1.23635268545515
"623",23,1.23995169415199
"624",24,1.23995169415199
"625",25,1.22232005477903
"626",26,1.22794951626214
"627",27,1.23995169415199
"628",28,1.23995169415199
"629",29,1.21339741372706
"630",30,1.23995169415199
"631",31,1.24429165340875
"632",32,1.24429165340875
"633",33,1.24640750695979
"634",34,1.24640750695979
"635",35,1.24494190711378
"636",36,1.24415387014739
"637",37,1.24640750695979
"638",38,1.24640750695979
"639",39,1.24640750695979
"640",40,1.24640750695979
"641",1,-0.0379373192130306
"642",2,0.443205170440358
"643",3,0.622843481559778
"644",4,0.785172899292638
"645",5,0.889332135864006
"646",6,0.973412411656899
"647",7,1.04348952928778
"648",8,1.01219799400243
"649",9,1.06804303290943
"650",10,1.13019734865802
"651",11,1.09281259746559
"652",12,1.11271099710142
"653",13,1.06133072212263
"654",14,1.17787034241724
"655",15,1.16689931085893
"656",16,1.17072141913998
"657",17,1.17690164399104
"658",18,1.16668447091735
"659",19,1.17812709452066
"660",20,1.19492457112283
"661",21,1.19492457112283
"662",22,1.18628630197215
"663",23,1.19991337369778
"664",24,1.19954700246581
"665",25,1.19997201276823
"666",26,1.19960564153627
"667",27,1.18342805858691
"668",28,1.19997201276823
"669",29,1.18953127250439
"670",30,1.20782961382329
"671",31,1.20746324259132
"672",32,1.20740460352087
"673",33,1.18870184660106
"674",34,1.20782961382329
"675",35,1.21124812713518
"676",36,1.21124812713518
"677",37,1.21124812713518
"678",38,1.21118948806472
"679",39,1.21056948037039
"680",40,1.21124812713518
"681",1,-0.122050846615856
"682",2,0.240811313317534
"683",3,0.568144925017029
"684",4,0.751034434570877
"685",5,0.756869507805219
"686",6,0.856478157572112
"687",7,0.953388600075987
"688",8,1.02507258834022
"689",9,1.01878835836527
"690",10,1.04921434783987
"691",11,1.03409943584071
"692",12,1.05121267002675
"693",13,1.06214575405527
"694",14,1.05584057156994
"695",15,1.07058100389872
"696",16,1.0813428478737
"697",17,1.09096344334059
"698",18,1.06259948291528
"699",19,1.0868752284479
"700",20,1.0606702980968
"701",21,1.09096344334059
"702",22,1.09096344334059
"703",23,1.09096344334059
"704",24,1.09096344334059
"705",25,1.09096344334059
"706",26,1.09096344334059
"707",27,1.09096344334059
"708",28,1.09096344334059
"709",29,1.07786631661601
"710",30,1.09096344334059
"711",31,1.09096344334059
"712",32,1.09096344334059
"713",33,1.09096344334059
"714",34,1.09096344334059
"715",35,1.09096344334059
"716",36,1.08217775783253
"717",37,1.09096344334059
"718",38,1.09096344334059
"719",39,1.09096344334059
"720",40,1.09096344334059
"721",1,-0.0345790260936033
"722",2,0.291096708013797
"723",3,0.553966022708338
"724",4,0.610567775945891
"725",5,0.744206610049361
"726",6,0.853041482191685
"727",7,0.927053508062821
"728",8,1.00750784926402
"729",9,1.01597367137891
"730",10,1.02171078827369
"731",11,1.01487786747625
"732",12,1.06388841797014
"733",13,1.07636172626924
"734",14,1.10581355545338
"735",15,1.13018563409593
"736",16,1.13699560027072
"737",17,1.13346303367674
"738",18,1.13749603758976
"739",19,1.14411238157856
"740",20,1.14411238157856
"741",21,1.1414909047167
"742",22,1.14411238157856
"743",23,1.14411238157856
"744",24,1.14411238157856
"745",25,1.14411238157856
"746",26,1.14411238157856
"747",27,1.14411238157856
"748",28,1.14411238157856
"749",29,1.14411238157856
"750",30,1.14411238157856
"751",31,1.14411238157856
"752",32,1.14411238157856
"753",33,1.14719118132037
"754",34,1.13803269313679
"755",35,1.13015630598031
"756",36,1.13013640692498
"757",37,1.14442914095234
"758",38,1.14719118132037
"759",39,1.14719118132037
"760",40,1.165976574599
"761",1,-0.0789577496356221
"762",2,0.315022653413646
"763",3,0.520514543483221
"764",4,0.725056897774199
"765",5,0.890161755084882
"766",6,0.972964173188099
"767",7,1.0254887010173
"768",8,1.04906812754279
"769",9,1.06493262329531
"770",10,1.07379095485902
"771",11,1.08687549872138
"772",12,1.08687549872138
"773",13,1.08687549872138
"774",14,1.09695392431048
"775",15,1.08782329593742
"776",16,1.09828441509628
"777",17,1.09528649993302
"778",18,1.09905245061712
"779",19,1.09905245061712
"780",20,1.09905245061712
"781",21,1.09905245061712
"782",22,1.09905245061712
"783",23,1.09905245061712
"784",24,1.09966843758854
"785",25,1.09966843758854
"786",26,1.09966843758854
"787",27,1.09883022555523
"788",28,1.09966843758854
"789",29,1.09966843758854
"790",30,1.09966843758854
"791",31,1.09966843758854
"792",32,1.09741066429531
"793",33,1.10603116565435
"794",34,1.10603116565435
"795",35,1.10603116565435
"796",36,1.10603116565435
"797",37,1.10603116565435
"798",38,1.10603116565435
"799",39,1.10603116565435
"800",40,1.10603116565435
"801",1,0.0482924623349948
"802",2,0.315421292924201
"803",3,0.517150267791164
"804",4,0.675034102471703
"805",5,0.816548310522732
"806",6,0.789539598467156
"807",7,0.897960404436096
"808",8,0.905807262891845
"809",9,0.960483375674202
"810",10,0.977608229015963
"811",11,1.02257025151506
"812",12,1.03203669954012
"813",13,1.0011889356905
"814",14,1.0582061577018
"815",15,1.04630602895998
"816",16,1.05828851799452
"817",17,1.05828851799452
"818",18,1.05828851799452
"819",19,1.0582061577018
"820",20,1.04778966081759
"821",21,1.05828851799452
"822",22,1.0582061577018
"823",23,1.05828851799452
"824",24,1.06653770050113
"825",25,1.06645534020841
"826",26,1.0604937353459
"827",27,1.06645534020841
"828",28,1.06263671500838
"829",29,1.06815429074453
"830",30,1.06815429074453
"831",31,1.06815429074453
"832",32,1.06815429074453
"833",33,1.06582988536418
"834",34,1.06708406087385
"835",35,1.07123267671027
"836",36,1.07123267671027
"837",37,1.07123267671027
"838",38,1.07123267671027
"839",39,1.07123267671027
"840",40,1.07123267671027
"841",1,0.00391179278549921
"842",2,0.262362648051645
"843",3,0.489734338922273
"844",4,0.550029371154526
"845",5,0.696646139219337
"846",6,0.750013634308435
"847",7,0.861592294901626
"848",8,0.870380416466994
"849",9,0.881527583742867
"850",10,0.927164692177615
"851",11,0.976589184863633
"852",12,1.03158148361881
"853",13,1.04125776226875
"854",14,1.08181690344828
"855",15,1.08862715350918
"856",16,1.10184515450887
"857",17,1.10252838445676
"858",18,1.10252838445676
"859",19,1.10252838445676
"860",20,1.10252838445676
"861",21,1.08111734873537
"862",22,1.09698740789593
"863",23,1.10252838445676
"864",24,1.10252838445676
"865",25,1.10252838445676
"866",26,1.10252838445676
"867",27,1.09026174366187
"868",28,1.06413475342447
"869",29,1.09283704774817
"870",30,1.10252838445676
"871",31,1.10315342793893
"872",32,1.08231261388524
"873",33,1.07819646161236
"874",34,1.10315342793893
"875",35,1.10315342793893
"876",36,1.10315342793893
"877",37,1.10315342793893
"878",38,1.10315342793893
"879",39,1.10315342793893
"880",40,1.10315342793893
"881",1,0.0327620795413835
"882",2,0.114927182903342
"883",3,0.480881833079027
"884",4,0.60371780093792
"885",5,0.773748814015661
"886",6,0.815474425624463
"887",7,0.847613026525262
"888",8,0.932507193965614
"889",9,0.974655606908309
"890",10,1.03273627642529
"891",11,1.05945423940922
"892",12,1.08880692121404
"893",13,1.08740230579382
"894",14,1.08069563038479
"895",15,1.08267212364822
"896",16,1.06534496013035
"897",17,1.09328249945829
"898",18,1.08151812390775
"899",19,1.0859064190663
"900",20,1.08284792481529
"901",21,1.08506549441392
"902",22,1.10795478653376
"903",23,1.11829502670556
