"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","lambda","beta"
"60",1,3,27,37.277900633247,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"61",1,4,17,100,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"62",1,5,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"63",1,6,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"64",1,7,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"65",1,8,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"66",1,9,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"67",1,10,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"68",1,11,17,100,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0240630974028583,0.580311844570334,0.504585743108398
"69",1,1,25,63.077365936616,-0.18,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.00673822981280109,0.46001628131343,0.499866772693256
"70",1,2,11,97.287481164754,-0.1,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.00673822981280109,0.46001628131343,0.499866772693256
"71",1,3,11,97.287481164754,0.11,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.00673822981280109,0.46001628131343,0.499866772693256
"72",1,4,11,97.287481164754,0.26,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.00673822981280109,0.46001628131343,0.499866772693256
"73",1,5,11,97.287481164754,0.26,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.00673822981280109,0.46001628131343,0.499866772693256
"74",1,6,11,97.287481164754,0.34,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.00673822981280109,0.46001628131343,0.499866772693256
"75",1,1,11,19.8356419326273,-0.17,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"76",1,2,21,48.8118897256085,-0.07,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"77",1,3,7,26.1508196666548,0.15,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"78",1,4,6,0,0.15,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"79",1,5,10,29.9034234120828,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"80",1,6,9,56.1239375292794,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"81",1,7,13,30.2728308790114,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"82",1,8,0,100,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"83",1,9,0,100,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"84",1,10,0,100,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"85",1,11,0,100,0.5,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.00934197466766048,0.457486770327514,0.560053764031421
"86",1,1,17,60.0481515973986,-0.35,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.00673794982012007,0.489333260241365,0.480300593311314
"87",1,2,27,48.7831715759752,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.00673794982012007,0.489333260241365,0.480300593311314
"88",1,3,29,62.6685600514607,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.00673794982012007,0.489333260241365,0.480300593311314
