"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","kError","lambda","beta"
"45",1,5,18,45.3954423724333,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"46",1,6,11,27.5725930770735,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"47",1,7,25,45.7509253546427,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"48",1,8,23,63.118597572704,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"49",1,9,13,43.4918132052128,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"50",1,10,7,61.9190024808004,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"51",1,11,24,40.2262386778857,0.07,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224
"52",1,1,28,2.69466191268454,-0.04,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207
"53",1,2,22,4.81441058193281,0.14,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207
"54",1,3,15,49.605558053809,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207
"55",1,4,25,76.3157118050105,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207
"56",1,5,20,5.90306044383584,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207
"57",1,6,3,84.9117472595375,0.49,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207
"58",1,1,20,56.4342563953344,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"59",1,2,11,67.7727406258141,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"60",1,3,6,37.0798514522421,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"61",1,4,4,57.3424999444642,0.49,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"62",1,5,23,21.084720491583,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"63",1,6,13,40.923784017282,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"64",1,7,29,29.8469784544292,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"65",1,8,8,41.4191824826292,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"66",1,9,27,37.277900633247,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"67",1,10,22,0,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
