"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"54",54,"Cumulative",620.714446079183,"LBMT","UCB",0.460712437833379,1.18,6.34245517981993,NA,0.0344085109928865,0.0204001123432287,"LBMT-UCB"
"55",55,"Cumulative",765.028050799353,"LBMT","UCB",0.335330255142742,0.94,0.00678333557400096,NA,36.8766959397273,16.2760164679598,"LBMT-UCB"
"56",56,"Best",675.519133525178,"LBMT","UCB",0.413097167277417,1.07,0.00676832357310011,NA,44.338601028788,17.8265229804663,"LBMT-UCB"
"57",57,"Best",1018.04640944742,"LBMT","UCB",0.115503481848489,1.14,0.00673948287570631,NA,25.0796199304806,16.7231405724137,"LBMT-UCB"
"58",58,"Best",651.578480507828,"LBMT","UCB",0.433897225152592,0.72,1.04597595720867,NA,1.26181738925658,0.47977685598683,"LBMT-UCB"
"59",59,"Best",1007.21654642823,"LBMT","UCB",0.124912656168679,1.1,0.54637062561211,NA,0.14376168629835,0.0897769833390548,"LBMT-UCB"
"60",60,"Cumulative",727.216312577142,"LBMT","UCB",0.368181754340068,0.89,0.00674495832252209,NA,44.3599442826126,18.0769893603122,"LBMT-UCB"
"61",61,"Cumulative",326.391726986183,"LBMT","UCB",0.716425161570547,1.19,6.36065352383242,NA,0.00893467124634869,0.00809170487132872,"LBMT-UCB"
"62",62,"Cumulative",820.765981788299,"LBMT","UCB",0.286904166281576,0.86,0.00673946391917279,NA,38.4254249039901,17.9652505909994,"LBMT-UCB"
"63",63,"Cumulative",695.838895897034,"LBMT","UCB",0.395443002495943,0.88,7.95419117019436,NA,0.00774879383149991,0.0175168352830808,"LBMT-UCB"
"64",64,"Best",453.096759320822,"LBMT","UCB",0.606341614403878,0.99,0.130246280785397,NA,0.117317117631783,0.0498759762879619,"LBMT-UCB"
"65",65,"Best",796.8117587999,"LBMT","UCB",0.307716013984829,1.16,0.0285329538778636,NA,5.54551734222247,2.55408890749305,"LBMT-UCB"
"66",66,"Best",839.11608060839,"LBMT","UCB",0.270961279627797,1.1,0.657800874831432,NA,22.452281974697,10.4302435860797,"LBMT-UCB"
"67",67,"Cumulative",777.930651200235,"LBMT","UCB",0.324120250349469,0.83,0.187404808946094,NA,43.9071685217477,19.8360278876386,"LBMT-UCB"
"68",68,"Best",630.866247927266,"LBMT","UCB",0.451892374912606,1.07,3.37195551374469,NA,0.107125397746903,0.0447243016644929,"LBMT-UCB"
"69",69,"Best",903.432257802251,"LBMT","UCB",0.215082260497752,1.03,0.180383356417224,NA,38.3522559050085,20.4227089271564,"LBMT-UCB"
"70",70,"Best",908.161635292551,"LBMT","UCB",0.21097329465457,1.1,0.00674899217142285,NA,29.0096412825496,15.5080392941361,"LBMT-UCB"
"71",71,"Cumulative",524.946018294067,"LBMT","UCB",0.543917722129561,1.13,3.74369514657915,NA,0.043477691081672,0.0347200287010831,"LBMT-UCB"
"72",72,"Cumulative",415.542278702138,"LBMT","UCB",0.638969603697847,1.11,6.85481633987939,NA,0.0582365317811124,0.021456399876002,"LBMT-UCB"
"73",73,"Best",742.45396738334,"LBMT","UCB",0.354943013457722,1.19,0.133287433806649,NA,44.6687955522396,16.857243901775,"LBMT-UCB"
"74",74,"Cumulative",1052.857457045,"LBMT","UCB",0.0852590351243228,0.81,0.381322518411446,NA,1.11103725728834,0.823121748948559,"LBMT-UCB"
"75",75,"Cumulative",856.288634589411,"LBMT","UCB",0.256041464516198,1.13,10.0358412965064,NA,0.00801626090185672,0.00702761485098732,"LBMT-UCB"
"76",76,"Cumulative",779.340256091562,"LBMT","UCB",0.322895560976982,0.91,0.0067484906570128,NA,43.5724709281904,17.1729026901909,"LBMT-UCB"
"77",77,"Cumulative",709.551611617253,"LBMT","UCB",0.383529155350685,1.05,4.04444185962662,NA,0.0584747452800262,0.0360016019764965,"LBMT-UCB"
"78",78,"Best",1091.41375509787,"LBMT","UCB",0.0517606493296237,1.09,0.648660650669604,NA,0.599920585693504,0.668781656905758,"LBMT-UCB"
"79",79,"Best",719.839057484125,"LBMT","UCB",0.374591242535041,1.29,0.0330750622905181,NA,12.5218343763408,5.07568264492093,"LBMT-UCB"
"80",80,"Cumulative",931.461107433868,"LBMT","UCB",0.190730305933702,0.9,0.0067474277501814,NA,44.1431189641369,19.2986588759398,"LBMT-UCB"
"81",1,"Cumulative",604.396981188607,"LRBF","UCB",0.474889336594417,1.2,NA,0.224546506488364,0.0952588321900232,0.0375942519626814,"LRBF-UCB"
"82",2,"Cumulative",764.682378378125,"LRBF","UCB",0.335630581385396,0.91,NA,0.242517243843075,0.541550360659096,0.106512783651812,"LRBF-UCB"
"83",3,"Cumulative",767.695437537883,"LRBF","UCB",0.333012782912695,0.9,NA,0.520542077047582,121.6042315947,16.5254871122777,"LRBF-UCB"
"84",4,"Cumulative",839.440467773415,"LRBF","UCB",0.270679446387843,1.2,NA,0.0641534351231174,0.133649611220029,0.047571096766997,"LRBF-UCB"
"85",5,"Best",843.379600767321,"LRBF","UCB",0.267257058778288,1.26,NA,0.247178793547888,0.230646421864933,0.0575125264453506,"LRBF-UCB"
"86",6,"Best",1001.60901200304,"LRBF","UCB",0.129784580108951,1.06,NA,0.430389106685071,48.2922882488415,0.218742287873012,"LRBF-UCB"
"87",7,"Cumulative",568.270129029574,"LRBF","UCB",0.50627697732465,1.05,NA,0.0477791932383035,0.178901935604955,0.0474376220228799,"LRBF-UCB"
"88",8,"Cumulative",630.349314759549,"LRBF","UCB",0.452341495485813,1.21,NA,0.361984463874158,0.199214487797256,0.0456725154187962,"LRBF-UCB"
"89",9,"Cumulative",749.788255883328,"LRBF","UCB",0.348570855389919,0.88,NA,0.484702483905452,0.835999365030274,0.147138521319675,"LRBF-UCB"
"90",10,"Cumulative",724.301138087445,"LRBF","UCB",0.370714508900187,0.92,NA,0.2039536791175,0.366077313856013,0.0646706570887824,"LRBF-UCB"
"91",11,"Best",804.572023370189,"LRBF","UCB",0.300973760460178,0.94,NA,0.0718574975168017,1.16841143853844,0.251033598774155,"LRBF-UCB"
"92",12,"Best",739.939402136877,"LRBF","UCB",0.357127711703815,1.02,NA,0.4769473149765,0.702435574723252,0.13585567540581,"LRBF-UCB"
"93",13,"Best",876.611973807963,"LRBF","UCB",0.238384192107784,1.04,NA,0.420631678777885,14.4402670144962,3.35198121680312,"LRBF-UCB"
"94",14,"Best",993.298804553008,"LRBF","UCB",0.137004633621696,1.26,NA,0.439781706707016,1.5331211434542,0.368323977930971,"LRBF-UCB"
"95",15,"Cumulative",761.376276644743,"LRBF","UCB",0.338502980369071,0.9,NA,0.573833506330806,0.814969906283943,0.148982194206411,"LRBF-UCB"
