"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"80",80,"Cumulative",971.033654755755,"LocalSearch","",0.156348985007879,0.9,NA,NA,NA,0.276019766053747,"LocalSearch-",2
"81",1,"Cumulative",1151.50660575248,"WSLS","",-0.00044906987035831,1.2,NA,NA,NA,148.405861373814,"WSLS-",0
"82",2,"Cumulative",1090.66288980605,"WSLS","",0.0524130142218795,0.91,NA,NA,NA,0.262025098859692,"WSLS-",0
"83",3,"Cumulative",1073.38800229102,"WSLS","",0.067421738496833,0.9,NA,NA,NA,0.268858249022696,"WSLS-",0
"84",4,"Cumulative",1151.39959824193,"WSLS","",-0.000356099874472493,1.2,NA,NA,NA,148.405507579937,"WSLS-",0
"85",5,"Best",1150.47676737737,"WSLS","",0.000445671713706797,1.26,NA,NA,NA,9.34332731368449,"WSLS-",0
"86",6,"Best",1147.07322576642,"WSLS","",0.00340272816647313,1.06,NA,NA,NA,1.7498179172611,"WSLS-",0
"87",7,"Cumulative",1153.92859556155,"WSLS","",-0.0025533369580355,1.05,NA,NA,NA,148.404981924762,"WSLS-",0
"88",8,"Cumulative",1155.7737489236,"WSLS","",-0.0041564384562025,1.21,NA,NA,NA,148.405168252721,"WSLS-",0
"89",9,"Cumulative",1115.18298572354,"WSLS","",0.0311095262251693,0.88,NA,NA,NA,0.399367104484976,"WSLS-",0
"90",10,"Cumulative",1160.57313342645,"WSLS","",-0.00832622761575341,0.92,NA,NA,NA,0.553524797440606,"WSLS-",0
"91",11,"Best",1043.20024219546,"WSLS","",0.0936493922143251,0.94,NA,NA,NA,0.215777506771898,"WSLS-",0
"92",12,"Best",1071.71762422371,"WSLS","",0.0688729921634842,1.02,NA,NA,NA,0.281811285396366,"WSLS-",0
"93",13,"Best",1082.12599353283,"WSLS","",0.0598300189472238,1.04,NA,NA,NA,0.269622529358611,"WSLS-",0
"94",14,"Best",1095.31437842232,"WSLS","",0.0483717195941178,1.26,NA,NA,NA,0.349062307575287,"WSLS-",0
"95",15,"Cumulative",1078.02413554406,"WSLS","",0.0633937848770966,0.9,NA,NA,NA,0.30108632000358,"WSLS-",0
"96",16,"Cumulative",1130.89548631756,"WSLS","",0.0174582310210467,0.87,NA,NA,NA,0.49364399692495,"WSLS-",0
"97",17,"Cumulative",1149.31304270229,"WSLS","",0.00145673605580898,1.14,NA,NA,NA,74.7274735342493,"WSLS-",0
"98",18,"Cumulative",1061.57683549978,"WSLS","",0.0776834866894658,0.9,NA,NA,NA,0.272616244650869,"WSLS-",0
"99",19,"Best",1091.80979735541,"WSLS","",0.0514165608926064,1.23,NA,NA,NA,0.344663217573413,"WSLS-",0
"100",20,"Best",1131.6230551211,"WSLS","",0.0168261065250783,1.05,NA,NA,NA,0.564772974714686,"WSLS-",0
"101",21,"Best",1085.76497576407,"WSLS","",0.0566684075675462,1.02,NA,NA,NA,0.29916466740012,"WSLS-",0
"102",22,"Best",1082.21903604377,"WSLS","",0.0597491819871347,0.92,NA,NA,NA,0.310204863112615,"WSLS-",0
"103",23,"Cumulative",1126.18623798624,"WSLS","",0.0215497082990104,0.85,NA,NA,NA,0.50083993806229,"WSLS-",0
"104",24,"Cumulative",1052.25438422846,"WSLS","",0.0857829953303249,0.83,NA,NA,NA,0.2537600462748,"WSLS-",0
"105",25,"Best",1123.62962609924,"WSLS","",0.0237709374014655,0.76,NA,NA,NA,0.603789100447005,"WSLS-",0
"106",26,"Best",1114.04126983042,"WSLS","",0.0321014689527387,1.14,NA,NA,NA,0.454999847678382,"WSLS-",0
"107",27,"Best",1078.27992392276,"WSLS","",0.0631715514619492,1.06,NA,NA,NA,0.296079083092932,"WSLS-",0
"108",28,"Cumulative",1123.73170082743,"WSLS","",0.0236822530931271,0.82,NA,NA,NA,0.552210468309057,"WSLS-",0
"109",29,"Cumulative",1064.40497956019,"WSLS","",0.075226345687784,0.82,NA,NA,NA,0.267970880379265,"WSLS-",0
"110",30,"Cumulative",1151.20785091298,"WSLS","",-0.000189506442928034,1.08,NA,NA,NA,148.404806627058,"WSLS-",0
"111",31,"Best",1112.79648538007,"WSLS","",0.0331829594446971,1.47,NA,NA,NA,0.35013391969038,"WSLS-",0
"112",32,"Best",1112.99108890219,"WSLS","",0.0330138845025947,1.07,NA,NA,NA,0.424488957822024,"WSLS-",0
"113",33,"Best",1096.5151584597,"WSLS","",0.0473284609054502,0.96,NA,NA,NA,0.354018280003032,"WSLS-",0
"114",34,"Cumulative",1088.06423015456,"WSLS","",0.054670775157213,0.91,NA,NA,NA,0.2810387104034,"WSLS-",0
"115",35,"Cumulative",1151.68838699623,"WSLS","",-0.000607004592851235,1.31,NA,NA,NA,148.405962394954,"WSLS-",0
"116",36,"Cumulative",1192.12404023528,"WSLS","",-0.0357382070284464,0.98,NA,NA,NA,1.60941138582205,"WSLS-",0
"117",37,"Cumulative",1070.377459883,"WSLS","",0.0700373503716335,0.87,NA,NA,NA,0.265121991083591,"WSLS-",0
"118",38,"Best",1139.25910619756,"WSLS","",0.0101917718553811,1.12,NA,NA,NA,0.582166516003978,"WSLS-",0
"119",39,"Best",1070.05380017269,"WSLS","",0.0703185515862081,1.24,NA,NA,NA,0.273221892631963,"WSLS-",0
"120",40,"Best",1104.29015535655,"WSLS","",0.0405734076779274,1.34,NA,NA,NA,0.392719837017586,"WSLS-",0
"121",41,"Best",1096.06084224848,"WSLS","",0.0477231787721711,1.16,NA,NA,NA,0.343280538669832,"WSLS-",0
"122",42,"Cumulative",1062.99366269862,"WSLS","",0.0764525224499465,0.81,NA,NA,NA,0.247671201340591,"WSLS-",0
"123",43,"Cumulative",1122.21392718219,"WSLS","",0.0250009213700297,0.87,NA,NA,NA,0.503451543152716,"WSLS-",0
"124",44,"Cumulative",1071.35925424982,"WSLS","",0.069184350261872,0.82,NA,NA,NA,0.271013833633356,"WSLS-",0
"125",45,"Best",1110.20874818765,"WSLS","",0.0354312307566371,0.96,NA,NA,NA,0.411550086054112,"WSLS-",0
"126",46,"Best",1104.8610109994,"WSLS","",0.0400774383156473,1.08,NA,NA,NA,0.379608758651952,"WSLS-",0
"127",47,"Best",1154.65445067277,"WSLS","",-0.00318397256815706,0.91,NA,NA,NA,148.404705715321,"WSLS-",0
"128",48,"Cumulative",1151.48743238193,"WSLS","",-0.000432411710832747,1.25,NA,NA,NA,148.405824290892,"WSLS-",0
"129",49,"Cumulative",1101.57123352735,"WSLS","",0.0429356544956886,0.88,NA,NA,NA,0.455353629992293,"WSLS-",0
"130",50,"Best",1109.70530315489,"WSLS","",0.0358686326023914,1.11,NA,NA,NA,0.40141709329022,"WSLS-",0
"131",51,"Best",1096.51767716232,"WSLS","",0.0473262726125764,1.04,NA,NA,NA,0.333116780143865,"WSLS-",0
"132",52,"Best",1199.54439527501,"WSLS","",-0.0421851412106045,1.1,NA,NA,NA,4.47492290313944,"WSLS-",0
"133",53,"Best",1066.84871621211,"WSLS","",0.0731031845628716,0.95,NA,NA,NA,0.294080213142806,"WSLS-",0
"134",54,"Cumulative",1151.60631467203,"WSLS","",-0.000535698722792244,1.18,NA,NA,NA,148.40576802747,"WSLS-",0
"135",55,"Cumulative",1081.65703398152,"WSLS","",0.0602374592038095,0.94,NA,NA,NA,0.326743202039124,"WSLS-",0
"136",56,"Best",1064.67236130125,"WSLS","",0.0749940397567543,1.07,NA,NA,NA,0.252009850675094,"WSLS-",0
"137",57,"Best",1110.63309147801,"WSLS","",0.0350625538875423,1.14,NA,NA,NA,0.451906760860801,"WSLS-",0
"138",58,"Best",1113.5694830545,"WSLS","",0.0325113655514994,0.72,NA,NA,NA,0.391818182559391,"WSLS-",0
"139",59,"Best",1197.91203104137,"WSLS","",-0.0407669146272021,1.1,NA,NA,NA,2.21076137325375,"WSLS-",0
"140",60,"Cumulative",1079.63203053,"WSLS","",0.0619968176038711,0.89,NA,NA,NA,0.288860042524095,"WSLS-",0
"141",61,"Cumulative",1153.08974052316,"WSLS","",-0.00182452503570163,1.19,NA,NA,NA,148.405363452154,"WSLS-",0
"142",62,"Cumulative",1027.19620834195,"WSLS","",0.10755397661091,0.86,NA,NA,NA,0.197853095255348,"WSLS-",0
"143",63,"Cumulative",1182.5331895623,"WSLS","",-0.0274055082952229,0.88,NA,NA,NA,148.404954417851,"WSLS-",0
"144",64,"Best",1182.15683855998,"WSLS","",-0.0270785279649908,0.99,NA,NA,NA,148.404850010474,"WSLS-",0
"145",65,"Best",1039.8836194626,"WSLS","",0.0965309320262728,1.16,NA,NA,NA,0.203555382097018,"WSLS-",0
"146",66,"Best",1135.24118477829,"WSLS","",0.0136826122262812,1.1,NA,NA,NA,0.534168490139136,"WSLS-",0
"147",67,"Cumulative",1084.85451383217,"WSLS","",0.0574594328107996,0.83,NA,NA,NA,0.293446515630006,"WSLS-",0
"148",68,"Best",1139.37041921424,"WSLS","",0.0100950611604973,1.07,NA,NA,NA,74.4582308492589,"WSLS-",0
"149",69,"Best",1118.14057483233,"WSLS","",0.0285399211024874,1.03,NA,NA,NA,0.435135004258746,"WSLS-",0
"150",70,"Best",1087.54980088207,"WSLS","",0.0551177203024754,1.1,NA,NA,NA,0.323973427175237,"WSLS-",0
"151",71,"Cumulative",1146.10860921235,"WSLS","",0.00424080389220372,1.13,NA,NA,NA,74.6777177616183,"WSLS-",0
"152",72,"Cumulative",1156.94967538813,"WSLS","",-0.0051781039262826,1.11,NA,NA,NA,74.8435775170838,"WSLS-",0
"153",73,"Best",1090.6760097731,"WSLS","",0.0524016153651444,1.19,NA,NA,NA,0.337415689806401,"WSLS-",0
"154",74,"Cumulative",1117.79091586915,"WSLS","",0.0288437109224832,0.81,NA,NA,NA,0.57624517987746,"WSLS-",0
"155",75,"Cumulative",1155.27581790678,"WSLS","",-0.00372382728388909,1.13,NA,NA,NA,148.404767747445,"WSLS-",0
"156",76,"Cumulative",1072.95230459679,"WSLS","",0.0678002802705066,0.91,NA,NA,NA,0.248517175527697,"WSLS-",0
"157",77,"Cumulative",1149.66292170712,"WSLS","",0.00115275505978085,1.05,NA,NA,NA,74.7557632869731,"WSLS-",0
"158",78,"Best",1123.94025439296,"WSLS","",0.0235010581094308,1.09,NA,NA,NA,0.491477641897227,"WSLS-",0
"159",79,"Best",1105.86385076738,"WSLS","",0.0392061535934455,1.29,NA,NA,NA,0.357038890477246,"WSLS-",0
"160",80,"Cumulative",1078.05821047841,"WSLS","",0.0633641799784316,0.9,NA,NA,NA,0.278701723717039,"WSLS-",0
"161",1,"Cumulative",1133.93454091699,"LWSLS","",0.0148178472559037,1.2,NA,NA,NA,0.523389913891689,"LWSLS-",1
"162",2,"Cumulative",695.533611449749,"LWSLS","",0.395708238960768,0.91,NA,NA,NA,0.176711949649646,"LWSLS-",1
"163",3,"Cumulative",824.899615902333,"LWSLS","",0.283312792698557,0.9,NA,NA,NA,0.204083594180393,"LWSLS-",1
