"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"48",48,"Cumulative",450.071932801099,"LBMT","UCB",0.608969636564635,1.25,0.00673795274323653,NA,0.0986707090757494,0.0443894302086107,"LBMT-UCB",10
"49",49,"Cumulative",838.512350673243,"LBMT","UCB",0.27148581074994,0.88,0.374793083737008,NA,0.412183210921444,0.190560432425312,"LBMT-UCB",10
"50",50,"Best",852.418344085958,"LBMT","UCB",0.259404040566535,1.11,0.00691742994710279,NA,45.0078228104584,23.0080146884814,"LBMT-UCB",10
"51",51,"Best",737.636466677548,"LBMT","UCB",0.359128542291105,1.04,0.451202526584039,NA,1.513268080103,0.661510999102205,"LBMT-UCB",10
"52",52,"Best",587.431692960782,"LBMT","UCB",0.48962907559619,1.1,0.00673801042875981,NA,0.154238445533397,0.0640125547063733,"LBMT-UCB",10
"53",53,"Best",681.259458439705,"LBMT","UCB",0.408109872638548,0.95,0.00674461455683157,NA,21.7550731915658,9.35218984902462,"LBMT-UCB",10
"54",54,"Cumulative",530.806920805991,"LBMT","UCB",0.538825667566119,1.18,1.71434454615053,NA,0.0657251433905218,0.0413756260385758,"LBMT-UCB",10
"55",55,"Cumulative",782.124809634347,"LBMT","UCB",0.320476292179073,0.94,0.00674858410601673,NA,14.3015932877429,6.40814866192467,"LBMT-UCB",10
"56",56,"Best",663.811304839291,"LBMT","UCB",0.423269133517544,1.07,0.00674634913054841,NA,0.300172917127288,0.116070478175639,"LBMT-UCB",10
"57",57,"Best",1047.48763947131,"LBMT","UCB",0.0899244265082118,1.14,0.567883418197117,NA,0.244842114237322,0.169278864205968,"LBMT-UCB",10
"58",58,"Best",692.190569156991,"LBMT","UCB",0.398612732548229,0.72,0.00674172536753773,NA,10.9162563956499,4.74794169277872,"LBMT-UCB",10
"59",59,"Best",1003.39794932189,"LBMT","UCB",0.128230320091887,1.1,0.00673881641841169,NA,0.174170456874845,0.108778747803813,"LBMT-UCB",10
