"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"305",62,"Best","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.15,0.0944116642210502,NA,NA,0.0190297519459409,"BMT-GV",0,1
"306",63,"Best","Rough",408.145338301407,"BMT","GV",-4.04882399518414e-06,1.02,54.5981500000714,NA,NA,54.5981500081571,"BMT-GV",0,1
"307",64,"Best","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.21,0.217665678390918,NA,NA,0.0151939930345078,"BMT-GV",0,1
"308",65,"Best","Smooth",406.032041998793,"BMT","GV",0.00517377549656151,1.14,17.2073285965318,NA,NA,0.00727449475478342,"BMT-GV",0,1
"309",66,"Cumulative","Rough",408.15196056478,"BMT","GV",-2.02741475840984e-05,1.3,54.5981500042367,NA,NA,54.5981499751004,"BMT-GV",0,1
"310",67,"Cumulative","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.04,0.0911740596522072,NA,NA,0.0160137021611794,"BMT-GV",0,1
"311",68,"Cumulative","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.18,0.274922812330432,NA,NA,0.0218282496460989,"BMT-GV",0,1
"312",69,"Cumulative","Smooth",396.662521051989,"BMT","GV",0.0281302030312712,1.1,1.38131650344354,NA,NA,0.0205580471490614,"BMT-GV",0,1
"313",70,"Best","Rough",404.442291807981,"BMT","GV",0.00906885030997673,1.04,0.0425094637676292,NA,NA,0.038206137680118,"BMT-GV",0,1
"314",71,"Best","Rough",415.518970277222,"BMT","GV",-0.0180703137997034,1.22,0.0141744405376891,NA,NA,1.0803555260324,"BMT-GV",0,1
"315",72,"Best","Smooth",396.669038934225,"BMT","GV",0.0281142334537342,1.39,1.27118952429487,NA,NA,0.0205403511909331,"BMT-GV",0,1
"316",73,"Best","Smooth",406.218683041959,"BMT","GV",0.00471648300457983,1.14,0.0414276708242801,NA,NA,0.0540387972203899,"BMT-GV",0,1
"317",74,"Best","Smooth",396.642762719057,"BMT","GV",0.0281786132691829,1.24,0.0729081591989378,NA,NA,0.0444191731965504,"BMT-GV",0,1
"318",75,"Best","Rough",396.677345939392,"BMT","GV",0.0280938803147405,1.04,0.666504042079935,NA,NA,0.0170321219038986,"BMT-GV",0,1
"319",76,"Best","Smooth",396.668807019113,"BMT","GV",0.0281148016730167,1.09,1.48903035387979,NA,NA,0.0221343240191465,"BMT-GV",0,1
"320",77,"Cumulative","Smooth",396.682393939907,"BMT","GV",0.0280815121201775,1.15,1.46064608902765,NA,NA,0.0119373122921055,"BMT-GV",0,1
"321",78,"Best","Smooth",396.657985747998,"BMT","GV",0.0281413150590903,1.33,1.03081361083556,NA,NA,0.0243231335087058,"BMT-GV",0,1
"322",79,"Cumulative","Smooth",396.444394906819,"BMT","GV",0.0286646377236581,1.15,1.83366361297015,NA,NA,0.0127866961287933,"BMT-GV",0,1
"323",80,"Best","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.06,0.0934286685824724,NA,NA,0.0172459660666583,"BMT-GV",0,1
"324",81,"Best","Smooth",396.6428346295,"BMT","GV",0.0281784370801463,1.3,0.231615722230857,NA,NA,0.0324247336073815,"BMT-GV",0,1
"325",1,"Cumulative","Rough",408.171612748762,"BMT","GM",-6.84243080932845e-05,1.01,54.5981500102695,NA,NA,54.5981499442975,"BMT-GM",0.0123456790123457,1
"326",2,"Cumulative","Rough",408.143743170881,"BMT","GM",-1.40566728257241e-07,1.04,54.5981500230501,NA,NA,54.5981499718223,"BMT-GM",0.0123456790123457,1
"327",3,"Cumulative","Smooth",261.076348581336,"BMT","GM",0.36033226124778,1.26,9.64980655299787,NA,NA,0.00673794699940572,"BMT-GM",0.0123456790123457,1
"328",4,"Best","Rough",408.143747162782,"BMT","GM",-1.50347354566094e-07,1.06,54.5981500136694,NA,NA,54.5981499897518,"BMT-GM",0.0123456790123457,1
"329",5,"Best","Rough",409.320876836563,"BMT","GM",-0.00288425639808354,1.16,54.5981499147056,NA,NA,54.5981497055059,"BMT-GM",0.0123456790123457,1
"330",6,"Best","Smooth",413.85715739771,"BMT","GM",-0.013998676929327,1.11,21.2184534159657,NA,NA,0.00673794699928707,"BMT-GM",0.0123456790123457,1
"331",7,"Cumulative","Rough",225.583998560601,"BMT","GM",0.447292690272215,1.24,8.60885179725978,NA,NA,0.00673794700000152,"BMT-GM",0.0123456790123457,1
"332",8,"Cumulative","Rough",203.55023678234,"BMT","GM",0.501277996292819,1.23,8.60555471318733,NA,NA,0.00673794700053958,"BMT-GM",0.0123456790123457,1
"333",9,"Cumulative","Smooth",408.143791059978,"BMT","GM",-2.57900644839992e-07,1.13,54.5981500212921,NA,NA,54.5981499729378,"BMT-GM",0.0123456790123457,1
"334",10,"Cumulative","Smooth",408.143762724347,"BMT","GM",-1.88475017592893e-07,1.12,54.5981500151899,NA,NA,54.598149989977,"BMT-GM",0.0123456790123457,1
"335",11,"Best","Rough",408.143739023586,"BMT","GM",-1.30405366505215e-07,1.15,54.5981500159193,NA,NA,54.5981499269683,"BMT-GM",0.0123456790123457,1
"336",12,"Best","Rough",407.31135485761,"BMT","GM",0.00203930863273871,1.01,5.36993440695406,NA,NA,0.0711483661334483,"BMT-GM",0.0123456790123457,1
"337",13,"Best","Smooth",408.143781958383,"BMT","GM",-2.35600666975699e-07,1.22,54.5981500179408,NA,NA,54.5981499901436,"BMT-GM",0.0123456790123457,1
"338",14,"Best","Smooth",408.143769602008,"BMT","GM",-2.05326095237268e-07,1.2,54.5981500182447,NA,NA,54.598149945761,"BMT-GM",0.0123456790123457,1
"339",15,"Cumulative","Rough",410.379726862436,"BMT","GM",-0.00547856340983865,1.05,54.5981499907575,NA,NA,27.3320265514088,"BMT-GM",0.0123456790123457,1
"340",16,"Cumulative","Smooth",408.143786749416,"BMT","GM",-2.47339260628365e-07,1.13,54.5981500202501,NA,NA,54.5981499949657,"BMT-GM",0.0123456790123457,1
"341",17,"Cumulative","Smooth",408.143787979557,"BMT","GM",-2.50353251463054e-07,1.17,54.5981500147133,NA,NA,54.5981499895075,"BMT-GM",0.0123456790123457,1
"342",18,"Best","Rough",408.143748067256,"BMT","GM",-1.52563421895735e-07,1.06,54.598150007832,NA,NA,54.5981499399182,"BMT-GM",0.0123456790123457,1
"343",19,"Best","Rough",408.143731640417,"BMT","GM",-1.12315736267021e-07,1.12,54.5981500028731,NA,NA,54.5981499589415,"BMT-GM",0.0123456790123457,1
"344",20,"Best","Smooth",408.143767287071,"BMT","GM",-1.99654228039137e-07,1.16,54.5981500193571,NA,NA,54.5981500013122,"BMT-GM",0.0123456790123457,1
"345",21,"Best","Smooth",408.14376073685,"BMT","GM",-1.83605417314325e-07,1.35,54.5981500212167,NA,NA,54.5981500001386,"BMT-GM",0.0123456790123457,1
"346",22,"Cumulative","Rough",408.143755244642,"BMT","GM",-1.7014886144473e-07,1.09,54.5981500115182,NA,NA,54.5981499820739,"BMT-GM",0.0123456790123457,1
"347",23,"Cumulative","Rough",408.14372050963,"BMT","GM",-8.50439998423269e-08,0.95,54.5981500140384,NA,NA,54.5981499703665,"BMT-GM",0.0123456790123457,1
"348",24,"Cumulative","Smooth",408.143751745848,"BMT","GM",-1.6157640470027e-07,1.17,54.5981500195804,NA,NA,54.5981499861227,"BMT-GM",0.0123456790123457,1
"349",25,"Cumulative","Smooth",408.143745922155,"BMT","GM",-1.47307672060393e-07,1.02,54.5981500129877,NA,NA,54.5981499561041,"BMT-GM",0.0123456790123457,1
"350",26,"Best","Rough",408.143747063254,"BMT","GM",-1.50103499407805e-07,1.21,54.5981500148749,NA,NA,54.5981500090367,"BMT-GM",0.0123456790123457,1
"351",27,"Best","Rough",138.831168219244,"BMT","GM",0.659847320809812,0.58,1.93099634128632,NA,NA,0.00673794699911511,"BMT-GM",0.0123456790123457,1
"352",28,"Best","Smooth",408.143780866334,"BMT","GM",-2.32925018606167e-07,1.19,54.5981500270694,NA,NA,54.5981499600845,"BMT-GM",0.0123456790123457,1
"353",29,"Best","Smooth",408.143796626784,"BMT","GM",-2.71539973395463e-07,1.2,54.5981500175177,NA,NA,54.5981499988593,"BMT-GM",0.0123456790123457,1
"354",30,"Cumulative","Rough",232.363994197656,"BMT","GM",0.430680904097515,1.25,8.63872720040561,NA,NA,0.0067379470012563,"BMT-GM",0.0123456790123457,1
"355",31,"Cumulative","Rough",179.641920085948,"BMT","GM",0.559856182182332,1.11,5.68849764809866,NA,NA,0.00673797845114377,"BMT-GM",0.0123456790123457,1
"356",32,"Cumulative","Smooth",376.575587023529,"BMT","GM",0.0773455522510281,1.17,22.3317165864757,NA,NA,0.0197900000489122,"BMT-GM",0.0123456790123457,1
"357",33,"Cumulative","Smooth",408.143779650718,"BMT","GM",-2.29946616858712e-07,1.18,54.5981500120947,NA,NA,54.5981500074274,"BMT-GM",0.0123456790123457,1
"358",34,"Best","Rough",408.143740457949,"BMT","GM",-1.33919726419407e-07,0.82,54.5981500172911,NA,NA,54.5981499813563,"BMT-GM",0.0123456790123457,1
"359",35,"Best","Rough",419.875873812193,"BMT","GM",-0.0287452395343408,0.92,16.8288513146991,NA,NA,0.00673794699914196,"BMT-GM",0.0123456790123457,1
"360",36,"Best","Smooth",289.948402433714,"BMT","GM",0.289592335929999,1.36,11.4803611825594,NA,NA,0.00673794700098139,"BMT-GM",0.0123456790123457,1
"361",37,"Best","Smooth",413.300515466749,"BMT","GM",-0.0126348387754407,1.17,37.4479023071181,NA,NA,32.038352601178,"BMT-GM",0.0123456790123457,1
"362",38,"Cumulative","Rough",408.143750821391,"BMT","GM",-1.59311376979332e-07,0.99,54.5981500140095,NA,NA,54.5981499975206,"BMT-GM",0.0123456790123457,1
"363",39,"Cumulative","Smooth",408.143776025371,"BMT","GM",-2.21064089034329e-07,1.04,54.5981500036675,NA,NA,54.5981499692972,"BMT-GM",0.0123456790123457,1
