"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"48",48,"Best","Rough",446.857995044118,"BMT","UCB",-0.0948546078051586,1.21,8.90442187554976,NA,0.19828926397515,0.00885799727873412,"BMT-UCB",0.493827160493827
"49",49,"Best","Smooth",253.294300313871,"BMT","UCB",0.379399194139861,1.17,4.09488139355913,NA,0.107103738211204,0.00692905728039236,"BMT-UCB",0.493827160493827
"50",50,"Best","Smooth",353.490876027005,"BMT","UCB",0.133905807376148,1.21,1.67244578517864,NA,0.0655638650155686,0.0737428795600423,"BMT-UCB",0.493827160493827
"51",51,"Cumulative","Rough",408.387544825737,"BMT","UCB",-0.000597483275530664,1.02,8.9557297544386,NA,0.112911870151026,0.00678433496832857,"BMT-UCB",0.493827160493827
"52",52,"Cumulative","Rough",276.071495032166,"BMT","UCB",0.323592390039292,1.03,2.94703488907473,NA,0.0435437264939971,0.0210017119078955,"BMT-UCB",0.493827160493827
"53",53,"Cumulative","Smooth",272.183115972946,"BMT","UCB",0.333119375741898,1.29,0.63233056930755,NA,0.0291137794028949,0.0788873809685541,"BMT-UCB",0.493827160493827
"54",54,"Cumulative","Smooth",195.984710365387,"BMT","UCB",0.519814425202982,1.11,5.44242420856294,NA,0.0479863723345883,0.00673808209031559,"BMT-UCB",0.493827160493827
"55",55,"Best","Rough",179.290518923427,"BMT","UCB",0.56071715633126,0.98,4.66046276854795,NA,0.0796263715543603,0.00673870448055292,"BMT-UCB",0.493827160493827
"56",56,"Best","Rough",294.20889787659,"BMT","UCB",0.279153621351993,1.23,4.31615655748823,NA,0.158300379074929,0.0121126950311281,"BMT-UCB",0.493827160493827
"57",57,"Best","Smooth",223.219110762726,"BMT","UCB",0.45308694332612,1.37,4.40326917085287,NA,0.128017032808653,0.0176306849583042,"BMT-UCB",0.493827160493827
"58",58,"Best","Smooth",119.079416817066,"BMT","UCB",0.708241433200621,1.08,7.21686047593038,NA,0.00707271070641356,0.00673853749980942,"BMT-UCB",0.493827160493827
"59",59,"Cumulative","Rough",328.829372264747,"BMT","UCB",0.194329390100335,1.21,4.52641901116246,NA,0.131710703841997,0.0105774885068957,"BMT-UCB",0.493827160493827
"60",60,"Cumulative","Smooth",204.778815655504,"BMT","UCB",0.498267833656694,1.11,1.75828076795809,NA,0.0608792273837037,0.00673796886929404,"BMT-UCB",0.493827160493827
"61",61,"Cumulative","Smooth",257.074232222529,"BMT","UCB",0.370137916702104,1.34,1.57160047359832,NA,0.0809978817104798,0.0498393826960518,"BMT-UCB",0.493827160493827
"62",62,"Best","Rough",202.132694542606,"BMT","UCB",0.504751141386212,1.15,5.81910787055554,NA,0.0279512804148295,0.00877076681977255,"BMT-UCB",0.493827160493827
"63",63,"Best","Rough",266.925650381349,"BMT","UCB",0.346000784359793,1.02,0.604777494215869,NA,0.0312435765491491,0.0572722891337916,"BMT-UCB",0.493827160493827
"64",64,"Best","Smooth",137.256049372479,"BMT","UCB",0.663706547110667,1.21,6.70352354495551,NA,0.0105597501456897,0.00673795326703657,"BMT-UCB",0.493827160493827
"65",65,"Best","Smooth",170.594657015823,"BMT","UCB",0.582023040043686,1.14,4.25686642668802,NA,0.0158075734041504,0.0128319087366729,"BMT-UCB",0.493827160493827
"66",66,"Cumulative","Rough",220.751075846443,"BMT","UCB",0.459133918943172,1.3,1.62605018179643,NA,0.0328982267007479,0.033093554315167,"BMT-UCB",0.493827160493827
"67",67,"Cumulative","Rough",150.701594914348,"BMT","UCB",0.630763380256247,1.04,5.01487284279921,NA,0.0514770306437816,0.00693720379948957,"BMT-UCB",0.493827160493827
"68",68,"Cumulative","Smooth",201.309529612727,"BMT","UCB",0.506767992212329,1.18,6.7697273230402,NA,0.0226810975668882,0.00673796046800435,"BMT-UCB",0.493827160493827
"69",69,"Cumulative","Smooth",173.893009902138,"BMT","UCB",0.573941687811433,1.1,7.12700280538793,NA,0.0558670080193657,0.00673800517678115,"BMT-UCB",0.493827160493827
"70",70,"Best","Rough",153.166554812833,"BMT","UCB",0.624723938794213,1.04,4.01565381087417,NA,0.0608264465475413,0.0104839680447494,"BMT-UCB",0.493827160493827
"71",71,"Best","Rough",289.186941952207,"BMT","UCB",0.291458003605379,1.22,2.16287375473397,NA,0.130559992024432,0.0187724615469505,"BMT-UCB",0.493827160493827
"72",72,"Best","Smooth",247.714537616427,"BMT","UCB",0.393070268547187,1.39,5.87988346694898,NA,0.127318166230466,0.00919235720556812,"BMT-UCB",0.493827160493827
"73",73,"Best","Smooth",245.486224114224,"BMT","UCB",0.398529898524893,1.14,6.57619387386576,NA,0.0905033182087658,0.00673895109970567,"BMT-UCB",0.493827160493827
"74",74,"Best","Smooth",225.769504348328,"BMT","UCB",0.446838179289488,1.24,3.64021820540714,NA,0.115979585802295,0.0169512230307652,"BMT-UCB",0.493827160493827
"75",75,"Best","Rough",225.627179867154,"BMT","UCB",0.447186890995991,1.04,4.29086908377773,NA,0.042798621443429,0.00673820315665294,"BMT-UCB",0.493827160493827
"76",76,"Best","Smooth",297.219387047688,"BMT","UCB",0.271777569055112,1.09,0.879299646870973,NA,0.43365446087025,0.0558398123973805,"BMT-UCB",0.493827160493827
"77",77,"Cumulative","Smooth",140.771266218789,"BMT","UCB",0.655093852688053,1.15,6.39981420592185,NA,0.0225369602460211,0.00673812461054853,"BMT-UCB",0.493827160493827
"78",78,"Best","Smooth",392.895967024522,"BMT","UCB",0.0373587030877867,1.33,1.14258425313004,NA,0.157541729266627,0.0986145120072474,"BMT-UCB",0.493827160493827
"79",79,"Cumulative","Smooth",181.608674012926,"BMT","UCB",0.555037403905449,1.15,6.50796084850458,NA,0.0560731157192906,0.00673805128588032,"BMT-UCB",0.493827160493827
"80",80,"Best","Rough",195.457065489559,"BMT","UCB",0.521107217163721,1.06,5.46114774574036,NA,0.0388867650801399,0.00674189639568892,"BMT-UCB",0.493827160493827
"81",81,"Best","Smooth",157.168095798523,"BMT","UCB",0.614919693071651,1.3,6.24148589822831,NA,0.0221589986786573,0.00673795975123921,"BMT-UCB",0.493827160493827
"82",1,"Cumulative","Rough",255.407866509198,"RBF","UCB",0.374220708550439,1.01,NA,0.482774147972101,0.0888252537962483,0.0450182369089664,"RBF-UCB",0.506172839506173
"83",2,"Cumulative","Rough",254.912404195456,"RBF","UCB",0.375434649451597,1.04,NA,0.450310222923766,0.122594041819978,0.0231124069822038,"RBF-UCB",0.506172839506173
"84",3,"Cumulative","Smooth",269.177312065889,"RBF","UCB",0.340483948591209,1.26,NA,1.31270429798992,0.0971620050386567,0.0494855988160131,"RBF-UCB",0.506172839506173
"85",4,"Best","Rough",219.890115283487,"RBF","UCB",0.461243373512509,1.06,NA,0.575260082601209,0.0611369718513994,0.0373602920694172,"RBF-UCB",0.506172839506173
"86",5,"Best","Rough",312.505516217257,"RBF","UCB",0.234324755986041,1.16,NA,0.664354566758858,0.0354939383258106,0.07597469930051,"RBF-UCB",0.506172839506173
"87",6,"Best","Smooth",321.783369686601,"RBF","UCB",0.211592924544938,1.11,NA,0.702574593869603,0.0177766610392418,0.0733098038632233,"RBF-UCB",0.506172839506173
"88",7,"Cumulative","Rough",288.281389473036,"RBF","UCB",0.293676713610405,1.24,NA,1.07268369634756,0.0717398394978838,0.0665094893185502,"RBF-UCB",0.506172839506173
"89",8,"Cumulative","Rough",240.080420405315,"RBF","UCB",0.411774752964626,1.23,NA,1.24269024222789,0.0536702033374272,0.0455233082418695,"RBF-UCB",0.506172839506173
"90",9,"Cumulative","Smooth",173.867299491132,"RBF","UCB",0.574004681340184,1.13,NA,0.399031824342383,0.0569644152494345,0.0300719734069106,"RBF-UCB",0.506172839506173
"91",10,"Cumulative","Smooth",229.684173835643,"RBF","UCB",0.437246778948092,1.12,NA,0.797969977378354,0.139411392765339,0.0456299551871879,"RBF-UCB",0.506172839506173
"92",11,"Best","Rough",234.831938242229,"RBF","UCB",0.424634151126831,1.15,NA,0.521563438566321,0.040110529997493,0.0531892824606485,"RBF-UCB",0.506172839506173
"93",12,"Best","Rough",380.820301521268,"RBF","UCB",0.0669455028433696,1.01,NA,1.09222322147793,0.0461356523655794,0.14246865953245,"RBF-UCB",0.506172839506173
"94",13,"Best","Smooth",185.154331817821,"RBF","UCB",0.546350125556525,1.22,NA,0.672153858507709,0.148639433682784,0.034868315544902,"RBF-UCB",0.506172839506173
"95",14,"Best","Smooth",193.735892289983,"RBF","UCB",0.525324293794967,1.2,NA,0.556320029065383,0.0586216748575476,0.0426608101194487,"RBF-UCB",0.506172839506173
"96",15,"Cumulative","Rough",403.307799187489,"RBF","UCB",0.0118484905689447,1.05,NA,0.795301667390103,0.0987521919629077,0.185703880608841,"RBF-UCB",0.506172839506173
"97",16,"Cumulative","Smooth",179.297643318654,"RBF","UCB",0.560699700725612,1.13,NA,0.351556506249869,0.0746890839660962,0.0302527208450383,"RBF-UCB",0.506172839506173
"98",17,"Cumulative","Smooth",176.25549300638,"RBF","UCB",0.568153326539557,1.17,NA,0.91599585447725,0.0277280307996518,0.0517071666525265,"RBF-UCB",0.506172839506173
"99",18,"Best","Rough",331.00142047244,"RBF","UCB",0.189007616707128,1.06,NA,0.477368024193597,0.213142955873311,0.0385224912770675,"RBF-UCB",0.506172839506173
"100",19,"Best","Rough",418.697835908834,"RBF","UCB",-0.0258589082144003,1.12,NA,0.716614682740177,0.0480684430247555,0.373306399593509,"RBF-UCB",0.506172839506173
"101",20,"Best","Smooth",171.88270154633,"RBF","UCB",0.578867179557974,1.16,NA,0.467465689090299,0.127764088101796,0.00673796028766938,"RBF-UCB",0.506172839506173
"102",21,"Best","Smooth",312.511692557681,"RBF","UCB",0.234309623226087,1.35,NA,0.800164029523571,0.167425970428418,0.0666418644312955,"RBF-UCB",0.506172839506173
"103",22,"Cumulative","Rough",209.729318514434,"RBF","UCB",0.486138519811662,1.09,NA,0.770833128395756,0.0639453642266126,0.0396483849994908,"RBF-UCB",0.506172839506173
"104",23,"Cumulative","Rough",244.992693202048,"RBF","UCB",0.399739107265217,0.95,NA,0.506811803798715,0.0780649444741977,0.0511491390648726,"RBF-UCB",0.506172839506173
"105",24,"Cumulative","Smooth",325.262492104658,"RBF","UCB",0.203068665713781,1.17,NA,0.497178792435446,0.418152813466948,0.0218709287091417,"RBF-UCB",0.506172839506173
"106",25,"Cumulative","Smooth",214.072411074971,"RBF","UCB",0.475497432587613,1.02,NA,0.415060318933902,0.236075880991267,0.0084918263529993,"RBF-UCB",0.506172839506173
"107",26,"Best","Rough",232.720533253662,"RBF","UCB",0.429807341505683,1.21,NA,0.685415708926664,0.124545431126556,0.020734602802891,"RBF-UCB",0.506172839506173
"108",27,"Best","Rough",142.987587334601,"RBF","UCB",0.649663605466488,0.58,NA,0.459754335406905,0.00673794728072839,0.0198998613678377,"RBF-UCB",0.506172839506173
"109",28,"Best","Smooth",238.673531539978,"RBF","UCB",0.415221796038638,1.19,NA,0.519452840792888,0.0923950719393278,0.0266869028690468,"RBF-UCB",0.506172839506173
"110",29,"Best","Smooth",323.118859669074,"RBF","UCB",0.208320817125569,1.2,NA,0.680010522646941,0.138700086798148,0.0573642867360909,"RBF-UCB",0.506172839506173
"111",30,"Cumulative","Rough",175.733650666892,"RBF","UCB",0.569431901604283,1.25,NA,0.986609879560067,0.0877387483378437,0.0333830503137159,"RBF-UCB",0.506172839506173
"112",31,"Cumulative","Rough",193.1845523628,"RBF","UCB",0.526675141416444,1.11,NA,0.784372299897103,0.0311090373741621,0.0401133736419891,"RBF-UCB",0.506172839506173
"113",32,"Cumulative","Smooth",303.023737045604,"RBF","UCB",0.25755622936552,1.17,NA,1.65654821489096,0.155323045693301,0.0860071762796574,"RBF-UCB",0.506172839506173
"114",33,"Cumulative","Smooth",235.489917822739,"RBF","UCB",0.423022023821171,1.18,NA,0.608212776812454,0.0767107820965389,0.0427206448694485,"RBF-UCB",0.506172839506173
"115",34,"Best","Rough",159.181484658277,"RBF","UCB",0.609986653728385,0.82,NA,0.529186932586291,0.0945753152289439,0.0267943296214204,"RBF-UCB",0.506172839506173
"116",35,"Best","Rough",344.43976190971,"RBF","UCB",0.156082100755687,0.92,NA,1.1620155698533,0.0825782237333604,0.0957805941412751,"RBF-UCB",0.506172839506173
"117",36,"Best","Smooth",260.824273473754,"RBF","UCB",0.360949874888154,1.36,NA,1.27234016634618,0.0717929843529732,0.0681699480080888,"RBF-UCB",0.506172839506173
"118",37,"Best","Smooth",356.395184746746,"RBF","UCB",0.126789909664654,1.17,NA,0.581189163941399,0.0833590667380728,0.11402822749967,"RBF-UCB",0.506172839506173
"119",38,"Cumulative","Rough",180.591403599968,"RBF","UCB",0.557529835978642,0.99,NA,0.628157076837255,0.129945146468882,0.0157895469493986,"RBF-UCB",0.506172839506173
"120",39,"Cumulative","Smooth",209.684125646929,"RBF","UCB",0.486249247648639,1.04,NA,0.490596956352702,0.0161381238733855,0.0514149726937879,"RBF-UCB",0.506172839506173
"121",40,"Best","Rough",175.132418139053,"RBF","UCB",0.570904991961326,1.19,NA,0.754281214399475,0.0775309390336405,0.040313227877701,"RBF-UCB",0.506172839506173
"122",41,"Best","Rough",359.669196545708,"RBF","UCB",0.118768195957264,1.15,NA,0.452629618375299,0.229394842175135,0.0389846592094695,"RBF-UCB",0.506172839506173
