"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"50",50,"Best","Smooth",352.961007255139,"BMT","UCB",0.135204048143559,1.21,1.45231699944576,NA,0.023924416012127,0.0791459881805174,"BMT-UCB"
"51",51,"Cumulative","Rough",408.138181746227,"BMT","UCB",1.34855773183951e-05,1.02,8.77694374065419,NA,0.0256767865250773,0.00715959138604001,"BMT-UCB"
"52",52,"Cumulative","Rough",279.000211490205,"BMT","UCB",0.316416690500287,1.03,2.73458028298338,NA,0.0116441362567406,0.0205034087438884,"BMT-UCB"
"53",53,"Cumulative","Smooth",272.706040355758,"BMT","UCB",0.331838149543854,1.29,0.40481098574514,NA,0.00919398239863478,0.0787605808799869,"BMT-UCB"
"54",54,"Cumulative","Smooth",200.285590631632,"BMT","UCB",0.509276763061226,1.11,5.30184962082419,NA,0.0125737317705581,0.00673810560368366,"BMT-UCB"
"55",55,"Best","Rough",179.090724634328,"BMT","UCB",0.561206675821701,0.98,4.58254148798568,NA,0.019923964777995,0.00673963064696257,"BMT-UCB"
"56",56,"Best","Rough",291.431910558345,"BMT","UCB",0.285957566665528,1.23,3.24534683155951,NA,0.0383637891671708,0.0172101724762913,"BMT-UCB"
"57",57,"Best","Smooth",223.884345646187,"BMT","UCB",0.451457039675502,1.37,4.03065015468146,NA,0.0312703635195506,0.0206153932888528,"BMT-UCB"
"58",58,"Best","Smooth",119.5996167716,"BMT","UCB",0.706966882172067,1.08,6.90264292866303,NA,0.00673808409539584,0.00674824447834702,"BMT-UCB"
"59",59,"Cumulative","Rough",330.122834104631,"BMT","UCB",0.191160256569946,1.21,4.11005296299158,NA,0.0318221325098505,0.0119505646925209,"BMT-UCB"
"60",60,"Cumulative","Smooth",197.964622588586,"BMT","UCB",0.514963407553839,1.11,3.19319349284909,NA,0.0225641441205947,0.00673797471206899,"BMT-UCB"
"61",61,"Cumulative","Smooth",256.927029323588,"BMT","UCB",0.370498581105505,1.34,1.23016521963588,NA,0.0310552233343982,0.0527878408930919,"BMT-UCB"
"62",62,"Best","Rough",205.530940706056,"BMT","UCB",0.496425038884362,1.15,5.6986712287336,NA,0.00808849489152724,0.0096065702575763,"BMT-UCB"
"63",63,"Best","Rough",265.136885356332,"BMT","UCB",0.350383468907548,1.02,0.550015251332676,NA,0.0135868795369796,0.0577189528729682,"BMT-UCB"
