"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"80",80,"Best","Rough",402.643783246378,"LocalSearch","",0.013475407667542,1.06,NA,NA,NA,1.19799033763131,"LocalSearch-",0,NA
"81",81,"Best","Smooth",373.428139271754,"LocalSearch","",0.0850571691675326,1.3,NA,NA,NA,0.484880623439845,"LocalSearch-",0,NA
"82",1,"Cumulative","Rough",409.323450010571,"WSLS","",-0.0028905609768326,1.01,NA,NA,NA,148.402856541705,"WSLS-",0,NA
"83",2,"Cumulative","Rough",399.868719829113,"WSLS","",0.0202746391975588,1.04,NA,NA,NA,0.804334962356086,"WSLS-",0,NA
"84",3,"Cumulative","Smooth",411.976267332029,"WSLS","",-0.00939027520433977,1.26,NA,NA,NA,148.404143457465,"WSLS-",0,NA
"85",4,"Best","Rough",408.127646917874,"WSLS","",3.92971449582058e-05,1.06,NA,NA,NA,1.13912997937934,"WSLS-",0,NA
"86",5,"Best","Rough",406.466905363882,"WSLS","",0.00410830914189475,1.16,NA,NA,NA,1.03439009168529,"WSLS-",0,NA
"87",6,"Best","Smooth",411.868098783494,"WSLS","",-0.00912524954720317,1.11,NA,NA,NA,1.51084118183156,"WSLS-",0,NA
"88",7,"Cumulative","Rough",398.995184502197,"WSLS","",0.0224149034165312,1.24,NA,NA,NA,0.583282601469965,"WSLS-",0,NA
"89",8,"Cumulative","Rough",410.823421521754,"WSLS","",-0.00656566747332121,1.23,NA,NA,NA,0.816946466507945,"WSLS-",0,NA
"90",9,"Cumulative","Smooth",410.803841705239,"WSLS","",-0.00651769462161367,1.13,NA,NA,NA,148.402101676813,"WSLS-",0,NA
"91",10,"Cumulative","Smooth",411.322121682837,"WSLS","",-0.00778754148101712,1.12,NA,NA,NA,1.26065513706473,"WSLS-",0,NA
"92",11,"Best","Rough",409.842659332975,"WSLS","",-0.00416268484023763,1.15,NA,NA,NA,148.402254151901,"WSLS-",0,NA
"93",12,"Best","Rough",410.386034630902,"WSLS","",-0.00549401818394113,1.01,NA,NA,NA,1.82039113261683,"WSLS-",0,NA
"94",13,"Best","Smooth",406.597397027181,"WSLS","",0.00378858922991476,1.22,NA,NA,NA,74.8923766935665,"WSLS-",0,NA
"95",14,"Best","Smooth",406.781891966933,"WSLS","",0.00333655494353147,1.2,NA,NA,NA,2.06447017334769,"WSLS-",0,NA
"96",15,"Cumulative","Rough",411.353362261485,"WSLS","",-0.00786408457046006,1.05,NA,NA,NA,30.1563232313305,"WSLS-",0,NA
"97",16,"Cumulative","Smooth",405.712831614514,"WSLS","",0.00595587845536172,1.13,NA,NA,NA,74.6635116653096,"WSLS-",0,NA
"98",17,"Cumulative","Smooth",408.190514769564,"WSLS","",-0.000114736480643973,1.17,NA,NA,NA,148.403151519777,"WSLS-",0,NA
"99",18,"Best","Rough",406.818842760469,"WSLS","",0.00324602115648243,1.06,NA,NA,NA,75.2541054673292,"WSLS-",0,NA
"100",19,"Best","Rough",408.850387369378,"WSLS","",-0.00173150190608662,1.12,NA,NA,NA,2.31666671374541,"WSLS-",0,NA
"101",20,"Best","Smooth",411.699746312763,"WSLS","",-0.00871276620717154,1.16,NA,NA,NA,4.0588845775616,"WSLS-",0,NA
"102",21,"Best","Smooth",408.393980343648,"WSLS","",-0.000613251050787689,1.35,NA,NA,NA,1.27378937234321,"WSLS-",0,NA
"103",22,"Cumulative","Rough",411.308833563619,"WSLS","",-0.00775498402715824,1.09,NA,NA,NA,76.1747092178778,"WSLS-",0,NA
"104",23,"Cumulative","Rough",410.891333013528,"WSLS","",-0.00673205860991621,0.95,NA,NA,NA,148.402581435147,"WSLS-",0,NA
"105",24,"Cumulative","Smooth",399.964300112497,"WSLS","",0.0200404562695603,1.17,NA,NA,NA,0.7942816014668,"WSLS-",0,NA
"106",25,"Cumulative","Smooth",412.052685591523,"WSLS","",-0.00957750892166231,1.02,NA,NA,NA,75.6603849478273,"WSLS-",0,NA
"107",26,"Best","Rough",410.06317600216,"WSLS","",-0.0047029765974238,1.21,NA,NA,NA,3.81748888923694,"WSLS-",0,NA
"108",27,"Best","Rough",327.176952361167,"WSLS","",0.198378013075706,0.58,NA,NA,NA,0.267463543348459,"WSLS-",0,NA
"109",28,"Best","Smooth",408.953766551575,"WSLS","",-0.00198479305279275,1.19,NA,NA,NA,148.404613631512,"WSLS-",0,NA
"110",29,"Best","Smooth",408.240745152398,"WSLS","",-0.000237806822245723,1.2,NA,NA,NA,2.98743975507604,"WSLS-",0,NA
"111",30,"Cumulative","Rough",407.33696031112,"WSLS","",0.00197657226218739,1.25,NA,NA,NA,0.935581416682845,"WSLS-",0,NA
"112",31,"Cumulative","Rough",376.275927846564,"WSLS","",0.0780797524540239,1.11,NA,NA,NA,0.534649876942483,"WSLS-",0,NA
"113",32,"Cumulative","Smooth",409.263101587144,"WSLS","",-0.00274270024658652,1.17,NA,NA,NA,1.72848805139433,"WSLS-",0,NA
"114",33,"Cumulative","Smooth",409.212637179675,"WSLS","",-0.00261905651712468,1.18,NA,NA,NA,148.403837582948,"WSLS-",0,NA
"115",34,"Best","Rough",405.93858594244,"WSLS","",0.00540275381866917,0.82,NA,NA,NA,3.72097748382818,"WSLS-",0,NA
"116",35,"Best","Rough",409.44376061519,"WSLS","",-0.0031853360984504,0.92,NA,NA,NA,1.28224352786813,"WSLS-",0,NA
"117",36,"Best","Smooth",410.227593832766,"WSLS","",-0.00510581960670486,1.36,NA,NA,NA,0.996971728712036,"WSLS-",0,NA
"118",37,"Best","Smooth",409.715764076911,"WSLS","",-0.00385177654867563,1.17,NA,NA,NA,2.34162046627952,"WSLS-",0,NA
"119",38,"Cumulative","Rough",409.328568616232,"WSLS","",-0.00290310216230005,0.99,NA,NA,NA,84.4842267141809,"WSLS-",0,NA
"120",39,"Cumulative","Smooth",408.45796082424,"WSLS","",-0.000770010747968231,1.04,NA,NA,NA,148.402900547797,"WSLS-",0,NA
