"participant","leaveoutindex","reward","environment","horizon","tau"
21,4,"Best","Rough",20,0.293634644958838
21,1,"Best","Rough",40,0.27731511154156
21,2,"Best","Rough",40,0.258213219354758
21,3,"Best","Rough",40,0.266586954894017
21,4,"Best","Rough",40,0.254938646575146
22,1,"Best","Rough",20,0.334361911301854
22,2,"Best","Rough",20,0.300591129133031
22,3,"Best","Rough",20,0.304034731337481
22,4,"Best","Rough",20,0.354258859279452
22,1,"Best","Rough",40,0.266123058364396
22,2,"Best","Rough",40,0.273200469214661
22,3,"Best","Rough",40,0.240659512708802
22,4,"Best","Rough",40,0.259222551668642
23,1,"Best","Smooth",20,0.253790503358128
23,2,"Best","Smooth",20,0.226665107296279
23,3,"Best","Smooth",20,0.217528396395243
23,4,"Best","Smooth",20,0.265543715166455
23,1,"Best","Smooth",40,0.193829112190192
23,2,"Best","Smooth",40,0.190159856267348
23,3,"Best","Smooth",40,0.190255895573066
23,4,"Best","Smooth",40,0.196763926611252
24,1,"Best","Smooth",20,0.212547452602371
24,2,"Best","Smooth",20,0.237521750983195
24,3,"Best","Smooth",20,0.22766241841845
24,4,"Best","Smooth",20,0.225851207116654
24,1,"Best","Smooth",40,0.250336625362931
24,2,"Best","Smooth",40,0.255764149991416
24,3,"Best","Smooth",40,0.25887802004978
24,4,"Best","Smooth",40,0.250650703935014
25,1,"Cumulative","Rough",20,0.2276231017283
25,2,"Cumulative","Rough",20,0.222055035012835
25,3,"Cumulative","Rough",20,0.20815330085481
25,4,"Cumulative","Rough",20,0.223900914877518
25,1,"Cumulative","Rough",40,0.216960474649738
25,2,"Cumulative","Rough",40,0.239029198755778
25,3,"Cumulative","Rough",40,0.220149296758926
25,4,"Cumulative","Rough",40,0.215240323871529
26,1,"Cumulative","Rough",20,0.211790495962822
26,2,"Cumulative","Rough",20,0.209311610724926
26,3,"Cumulative","Rough",20,0.201707796155271
26,4,"Cumulative","Rough",20,0.199948550804716
26,1,"Cumulative","Rough",40,0.221322432861228
26,2,"Cumulative","Rough",40,0.230511331238472
26,3,"Cumulative","Rough",40,0.21229057797684
26,4,"Cumulative","Rough",40,0.218027724676985
27,1,"Cumulative","Smooth",20,0.196301870240892
27,2,"Cumulative","Smooth",20,0.18223914720774
27,3,"Cumulative","Smooth",20,0.190559562012585
27,4,"Cumulative","Smooth",20,0.175231108488513
27,1,"Cumulative","Smooth",40,0.174222487715629
27,2,"Cumulative","Smooth",40,0.189126779558406
27,3,"Cumulative","Smooth",40,0.162667179147682
27,4,"Cumulative","Smooth",40,0.169263278168965
28,1,"Cumulative","Smooth",20,0.221718423525272
28,2,"Cumulative","Smooth",20,0.244515284206714
28,3,"Cumulative","Smooth",20,0.231136254630484
28,4,"Cumulative","Smooth",20,0.246687161652908
28,1,"Cumulative","Smooth",40,0.219474841846612
28,2,"Cumulative","Smooth",40,0.232070939377841
28,3,"Cumulative","Smooth",40,0.239557299604429
28,4,"Cumulative","Smooth",40,0.229015443334838
29,1,"Best","Rough",20,0.203738016662773
29,2,"Best","Rough",20,0.205551911285341
29,3,"Best","Rough",20,0.210071172311831
29,4,"Best","Rough",20,0.201950093679858
29,1,"Best","Rough",40,0.216591139788695
29,2,"Best","Rough",40,0.214856658279629
29,3,"Best","Rough",40,0.225686927124688
29,4,"Best","Rough",40,0.229092939193611
30,1,"Best","Rough",20,0.194770470381771
30,2,"Best","Rough",20,0.227587967374387
30,3,"Best","Rough",20,0.224610486635125
30,4,"Best","Rough",20,0.206869559988021
30,1,"Best","Rough",40,0.232071355190836
30,2,"Best","Rough",40,0.229852436104007
30,3,"Best","Rough",40,0.241222169682186
30,4,"Best","Rough",40,0.234708301914832
31,1,"Best","Smooth",20,0.349038070492228
31,2,"Best","Smooth",20,0.271180955004747
31,3,"Best","Smooth",20,0.299530702394339
31,4,"Best","Smooth",20,0.301460545615415
31,1,"Best","Smooth",40,0.279744840617153
31,2,"Best","Smooth",40,0.283660279651513
31,3,"Best","Smooth",40,0.278383626015477
31,4,"Best","Smooth",40,0.28203638528298
32,1,"Best","Smooth",20,0.246428006030024
32,2,"Best","Smooth",20,0.208735586292062
32,3,"Best","Smooth",20,0.220465261848681
32,4,"Best","Smooth",20,0.214078697375661
32,1,"Best","Smooth",40,0.241441616274234
32,2,"Best","Smooth",40,0.224427563848653
32,3,"Best","Smooth",40,0.231953355834335
32,4,"Best","Smooth",40,0.226145549321362
33,1,"Cumulative","Rough",20,0.177888467855826
33,2,"Cumulative","Rough",20,0.18605835057506
33,3,"Cumulative","Rough",20,0.176870714435364
33,4,"Cumulative","Rough",20,0.180265857253267
33,1,"Cumulative","Rough",40,0.198237247508367
33,2,"Cumulative","Rough",40,0.19204135464411
33,3,"Cumulative","Rough",40,0.199412532219575
33,4,"Cumulative","Rough",40,0.201786931638884
34,1,"Cumulative","Smooth",20,0.157280534257134
34,2,"Cumulative","Smooth",20,0.181556411947008
34,3,"Cumulative","Smooth",20,0.163999104347376
34,4,"Cumulative","Smooth",20,0.16295004826621
34,1,"Cumulative","Smooth",40,0.210293210558128
34,2,"Cumulative","Smooth",40,0.200891448052107
34,3,"Cumulative","Smooth",40,0.198849833488285
34,4,"Cumulative","Smooth",40,0.201159891915249
35,1,"Cumulative","Smooth",20,0.216322670578424
35,2,"Cumulative","Smooth",20,0.204019432789959
35,3,"Cumulative","Smooth",20,0.242046420302388
35,4,"Cumulative","Smooth",20,0.226377586516196
35,1,"Cumulative","Smooth",40,0.215199296508684
35,2,"Cumulative","Smooth",40,0.216462338317664
35,3,"Cumulative","Smooth",40,0.224748992238256
35,4,"Cumulative","Smooth",40,0.210651041656394
36,1,"Best","Rough",20,0.284216059729991
36,2,"Best","Rough",20,0.268944991427691
36,3,"Best","Rough",20,0.301196769573348
36,4,"Best","Rough",20,0.265430250338152
36,1,"Best","Rough",40,0.287879154254295
36,2,"Best","Rough",40,0.279623668920595
36,3,"Best","Rough",40,0.288419026632413
36,4,"Best","Rough",40,0.297772088764444
37,1,"Best","Rough",20,0.152926596636917
37,2,"Best","Rough",20,0.124587643717104
37,3,"Best","Rough",20,0.155697130968373
37,4,"Best","Rough",20,0.161454481996357
37,1,"Best","Rough",40,0.126130103356052
37,2,"Best","Rough",40,0.145295972869884
37,3,"Best","Rough",40,0.14163684050128
37,4,"Best","Rough",40,0.129414793127653
38,1,"Best","Smooth",20,0.19739277111997
38,2,"Best","Smooth",20,0.218413662486246
38,3,"Best","Smooth",20,0.204757290148792
38,4,"Best","Smooth",20,0.219958161137257
38,1,"Best","Smooth",40,0.225293569843641
38,2,"Best","Smooth",40,0.212411848851198
38,3,"Best","Smooth",40,0.217258087795329
38,4,"Best","Smooth",40,0.207752067845545
39,1,"Best","Smooth",20,0.194447831743103
39,2,"Best","Smooth",20,0.179383656716289
39,3,"Best","Smooth",20,0.195204947595269
39,4,"Best","Smooth",20,0.19989391064578
39,1,"Best","Smooth",40,0.216595046612337
39,2,"Best","Smooth",40,0.241134323786355
39,3,"Best","Smooth",40,0.224846727151931
39,4,"Best","Smooth",40,0.217933671754122
40,1,"Cumulative","Rough",20,0.21517922402087
40,2,"Cumulative","Rough",20,0.22747602994541
40,3,"Cumulative","Rough",20,0.214198803288643
40,4,"Cumulative","Rough",20,0.230486081674669
40,1,"Cumulative","Rough",40,0.21551316495523
40,2,"Cumulative","Rough",40,0.233590199887204
40,3,"Cumulative","Rough",40,0.226006281101817
40,4,"Cumulative","Rough",40,0.250813874157018
41,1,"Cumulative","Rough",20,0.215929556339831
41,2,"Cumulative","Rough",20,0.216465309180712
41,3,"Cumulative","Rough",20,0.20758898669804
41,4,"Cumulative","Rough",20,0.200910091122839
41,1,"Cumulative","Rough",40,0.205507786567517
41,2,"Cumulative","Rough",40,0.226244220455569
41,3,"Cumulative","Rough",40,0.212606880374253
41,4,"Cumulative","Rough",40,0.215815496564706
42,1,"Cumulative","Smooth",20,0.204502636595627
