"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
26,4,"Cumulative","Rough",20,0.510967499504897,0.489660098490508,0.00673800064015677
26,1,"Cumulative","Rough",40,0.445422634020265,0.404174408314869,0.0067379480385431
26,2,"Cumulative","Rough",40,0.447821298139482,0.498064732407807,0.00673794778039723
26,3,"Cumulative","Rough",40,0.456606617893597,0.492922294978218,0.00673794708489659
26,4,"Cumulative","Rough",40,0.452954020879485,0.499201458675836,0.00673794732553274
27,1,"Cumulative","Smooth",20,1.46864132055337,0.00673794700554399,0.0609810173082374
27,2,"Cumulative","Smooth",20,1.45432285823388,0.00673794761749481,0.0594156992855411
27,3,"Cumulative","Smooth",20,1.46368771928006,0.00673794725181616,0.0637237976094072
27,4,"Cumulative","Smooth",20,1.45305223067734,0.00673795071226552,0.0546910449257701
27,1,"Cumulative","Smooth",40,1.67693364063556,0.006737947790723,0.0575311192351087
27,2,"Cumulative","Smooth",40,1.61585441444634,0.00673794742182967,0.0677495515448697
27,3,"Cumulative","Smooth",40,0.759528463469755,0.298356358948088,0.0276127117378641
27,4,"Cumulative","Smooth",40,1.61852056340488,0.00673794703508726,0.0597414226657628
28,1,"Cumulative","Smooth",20,0.566746831820017,0.491607639033599,0.0197486505869946
28,2,"Cumulative","Smooth",20,0.633791839743258,0.490194556777982,0.0219695880984293
28,3,"Cumulative","Smooth",20,0.417401457658471,0.520008899855029,0.00678098073540744
28,4,"Cumulative","Smooth",20,0.418607009374662,0.52485446554035,0.00675496250379575
28,1,"Cumulative","Smooth",40,0.588054540974065,0.483538155339356,0.0202500027933054
28,2,"Cumulative","Smooth",40,0.617499825390352,0.486419222838353,0.0212922409151461
28,3,"Cumulative","Smooth",40,0.528321345067615,0.48725691437346,0.0173661736294705
28,4,"Cumulative","Smooth",40,0.472338867742772,0.48591150034241,0.009821739940452
29,1,"Best","Rough",20,1.43843677306751,0.00675562995765882,0.108719109668341
29,2,"Best","Rough",20,39.2872418526416,0.00673794848154353,0.126308118954165
29,3,"Best","Rough",20,0.487142000546435,0.390437048964539,0.00673800015216457
29,4,"Best","Rough",20,0.457324424265379,0.499642562676007,0.00674336448350387
29,1,"Best","Rough",40,0.440070705076727,0.482919936403053,0.00673794710761371
29,2,"Best","Rough",40,0.424332418618149,0.487185347891739,0.00673794711713497
29,3,"Best","Rough",40,0.411017370610754,0.491192638887633,0.00673794700409284
29,4,"Best","Rough",40,0.437933511837448,0.458231424966563,0.00673794806915475
30,1,"Best","Rough",20,0.465919316502429,0.471276775305959,0.00673924363150976
30,2,"Best","Rough",20,0.478781100270924,0.464657216421292,0.00673794859954097
30,3,"Best","Rough",20,0.466162616122928,0.474986536251983,0.00673797144235042
30,4,"Best","Rough",20,0.510388926639992,0.356262638170833,0.0067379479372291
30,1,"Best","Rough",40,0.423112246310017,0.527086969116063,0.00673816641682368
30,2,"Best","Rough",40,0.474554165850736,0.511025598047734,0.00814977550642849
30,3,"Best","Rough",40,0.42756997669102,0.524025310243718,0.00673797415050589
30,4,"Best","Rough",40,0.423490145527225,0.530052884646382,0.00673796803474236
31,1,"Best","Smooth",20,0.398627193901424,0.552135820630672,0.00677742272919837
31,2,"Best","Smooth",20,0.456520314889533,0.516360373423277,0.00673832398199809
31,3,"Best","Smooth",20,0.403423577576821,0.529595558346461,0.00673822806617965
31,4,"Best","Smooth",20,0.399074995068948,0.538035140389835,0.00676027328664218
31,1,"Best","Smooth",40,0.431622452911032,1.40712878500477,0.00673798191625008
31,2,"Best","Smooth",40,0.435881338386722,0.954833267949789,0.00673812779225486
31,3,"Best","Smooth",40,0.496532501702463,0.903220118285308,0.0119245360283142
31,4,"Best","Smooth",40,0.475912242107396,1.35345496720529,0.00801640202883575
32,1,"Best","Smooth",20,0.418259624506486,0.520883113932898,0.0067406865441654
32,2,"Best","Smooth",20,0.408960483172012,0.523648664233698,0.00674662220248811
32,3,"Best","Smooth",20,0.409355316763765,0.519562939624349,0.0068035611264473
32,4,"Best","Smooth",20,0.437723546225064,0.475614322371993,0.00676959314135054
32,1,"Best","Smooth",40,0.503420235680154,0.542050075835971,0.0166831052699469
32,2,"Best","Smooth",40,0.653946417570684,0.509722081498714,0.0202350781353979
32,3,"Best","Smooth",40,0.593745166741385,0.506229619830511,0.0247771106562091
32,4,"Best","Smooth",40,0.571645032086349,0.516084461685023,0.0194393444746382
33,1,"Cumulative","Rough",20,1.42706733342638,0.00673794763843655,0.110623391241923
33,2,"Cumulative","Rough",20,1.40724028641124,0.0067379470601531,0.12326330337662
33,3,"Cumulative","Rough",20,1.41397609507687,0.0067379471807916,0.102721105122747
33,4,"Cumulative","Rough",20,1.44188782556958,0.00673794771168135,0.123996126732432
33,1,"Cumulative","Rough",40,0.435720382724588,0.502978660765603,0.0067379746730414
33,2,"Cumulative","Rough",40,0.416721058796959,0.509559218793339,0.00673794782136927
33,3,"Cumulative","Rough",40,0.421880766012539,0.512651121540181,0.00673795216442564
33,4,"Cumulative","Rough",40,0.41832829252383,0.513812827404658,0.00673794730034657
34,1,"Cumulative","Smooth",20,0.43719443252209,0.495953722710388,0.00673810657989611
34,2,"Cumulative","Smooth",20,0.43163580709104,0.501124960523117,0.00673794868822215
34,3,"Cumulative","Smooth",20,0.465650228528604,0.463544384736601,0.0067382352573793
34,4,"Cumulative","Smooth",20,0.430141765991202,0.501756591086893,0.00673794789977884
34,1,"Cumulative","Smooth",40,0.43337156309539,0.511417782333062,0.0067379518466327
34,2,"Cumulative","Smooth",40,0.431026692400352,0.510626704109177,0.00674817150605938
34,3,"Cumulative","Smooth",40,0.426849884417337,0.51527141250175,0.00673795521889301
34,4,"Cumulative","Smooth",40,0.429892668471208,0.512351972625402,0.00673795127243929
35,1,"Cumulative","Smooth",20,0.461506189036032,0.512892320715463,0.00674016233808292
35,2,"Cumulative","Smooth",20,0.464829977441936,0.51279496828087,0.00673796393883957
35,3,"Cumulative","Smooth",20,0.469679788380167,0.512118030655846,0.00739461983906603
35,4,"Cumulative","Smooth",20,0.488488235222074,0.530774988222964,0.0100536148536817
35,1,"Cumulative","Smooth",40,0.463676436347299,0.507863896530105,0.00673794894785486
35,2,"Cumulative","Smooth",40,0.44675461697661,0.519011093710452,0.00673794732981686
35,3,"Cumulative","Smooth",40,0.444967396231876,0.521553433942634,0.00674114002439722
35,4,"Cumulative","Smooth",40,0.451515357338981,0.516041199403547,0.00673794969991127
36,1,"Best","Rough",20,0.693369719362118,0.398720585162996,0.0212191681115714
36,2,"Best","Rough",20,0.594803184924326,0.406704017761232,0.0128970510633827
36,3,"Best","Rough",20,0.781883370592454,0.396031694453959,0.0240129558156702
36,4,"Best","Rough",20,0.660858399415171,0.410793202885071,0.0197067798708182
36,1,"Best","Rough",40,0.509273115079243,0.498543680997972,0.011145591562548
36,2,"Best","Rough",40,0.436835307010407,0.509427221638176,0.00673803391108497
36,3,"Best","Rough",40,0.539960811230104,0.506799803082354,0.0155588008458853
36,4,"Best","Rough",40,0.549621637127399,0.487981310847837,0.0165369494208616
37,1,"Best","Rough",20,0.947421597181746,0.00673794700765432,0.0430313779014128
37,2,"Best","Rough",20,0.928215784283844,0.00673794705103982,0.0422364812839075
37,3,"Best","Rough",20,1.02246656501988,0.00673794709564901,0.0486783143435417
37,4,"Best","Rough",20,0.941594095117622,0.00673794716773035,0.0363413106180309
37,1,"Best","Rough",40,0.921070815283095,0.00673794820267049,0.0326929889525526
37,2,"Best","Rough",40,0.980644427616644,0.0067379471114532,0.0403642622814429
37,3,"Best","Rough",40,0.943008296707043,0.00673794706575907,0.0380469589706575
37,4,"Best","Rough",40,0.939196566795564,0.006737947264077,0.0373457324144646
38,1,"Best","Smooth",20,0.423843150911952,0.505476551733907,0.00673795356993371
38,2,"Best","Smooth",20,0.438866207587937,0.502913630141536,0.00673794889877557
38,3,"Best","Smooth",20,0.418415756561139,0.504388382529135,0.00673794712013093
38,4,"Best","Smooth",20,0.430512299593432,0.493862575807052,0.00674298254940063
38,1,"Best","Smooth",40,0.410630285911239,0.529514683439861,0.00673801633533562
38,2,"Best","Smooth",40,0.413094428481696,0.525678308567098,0.00673795652048463
38,3,"Best","Smooth",40,0.431798246939379,0.516652189337313,0.0067379513823753
38,4,"Best","Smooth",40,0.429891743256018,0.506346903185963,0.00673802374305994
39,1,"Best","Smooth",20,0.445927218066643,0.481192015085637,0.00682266686712652
39,2,"Best","Smooth",20,0.490669716167895,0.421507628486747,0.00673861126005279
39,3,"Best","Smooth",20,1.64699940453302,0.00673827104035541,0.110581433515312
39,4,"Best","Smooth",20,0.435198902157636,0.484578098112391,0.00673871664548316
39,1,"Best","Smooth",40,0.437350883793833,0.504754643862518,0.00673794982386624
39,2,"Best","Smooth",40,19.6375076960568,0.00673795487026144,0.183497501767753
39,3,"Best","Smooth",40,0.421471035730322,0.520790008985317,0.00674065414694244
39,4,"Best","Smooth",40,0.423088403731292,0.518188028736608,0.00675227391262138
40,1,"Cumulative","Rough",20,1.55122520716389,0.00673794709699525,0.0956302595228713
