"participant","leaveoutindex","reward","horizon","kError","beta","tau"
22,1,"Best",20,0.0105637437873017,51.2900371494283,57.0493203335061
22,2,"Best",20,0.0174525015967991,83.4103906302817,56.3140100815112
22,3,"Best",20,0.0631250788459715,29.3878120941877,0.999566507514244
22,4,"Best",20,0.0111734709555421,47.576933631488,57.029841566323
22,1,"Best",40,0.153005487155354,80.5358908858467,0.579212624761259
22,2,"Best",40,0.152128348617531,111.858295096564,0.0845921619807354
22,3,"Best",40,0.141641432228593,2.24391886518369,0.0271861785355707
22,4,"Best",40,0.0146776653883789,2.96832382857601,0.0191283579434241
23,1,"Cumulative",20,0.892127086828367,52.6658466997942,0.172765226764498
23,2,"Cumulative",20,1.13986587502291,89.0355726345291,5.48759599494183
23,3,"Cumulative",20,16.2604690495883,3.32321344266845,0.0412436705593337
23,4,"Cumulative",20,56.0244892892125,43.4696755067485,0.0453710469642524
23,1,"Cumulative",40,0.00678380171448192,44.6938849204117,55.4776370722968
23,2,"Cumulative",40,0.0067506421157366,44.589830430241,63.8614159905346
23,3,"Cumulative",40,0.00683751032268121,44.5206337810947,63.8678587160006
23,4,"Cumulative",40,0.837139624764807,63.7650551033033,15.2034881624485
24,1,"Cumulative",20,0.931605868315175,3.28624694302676,0.0509262290702286
24,2,"Cumulative",20,0.269502792210342,68.1863037903157,0.204980595540394
24,3,"Cumulative",20,0.0158034147961329,54.0741224061637,0.0233282972113822
24,4,"Cumulative",20,0.572315770199242,15.293739456544,0.538775247505724
24,1,"Cumulative",40,0.00675209259418278,44.7287628544629,39.5487789133626
24,2,"Cumulative",40,0.00673888962062523,44.7314713302733,39.5457998722622
24,3,"Cumulative",40,0.0154398202860566,19.1900978840108,0.0269822982422938
24,4,"Cumulative",40,0.00675436494467712,44.774456325263,39.5426141988485
25,1,"Best",20,8.79038975545038,12.4173007186215,0.0163269172376779
25,2,"Best",20,0.0962545624080469,116.370811049295,0.0320407082996269
25,3,"Best",20,0.749224884513498,88.2090044410875,0.00957997521944354
25,4,"Best",20,0.0202147971223751,33.7181848163577,0.0179496405438049
25,1,"Best",40,0.781202800909725,46.9249009055488,20.0736859754126
25,2,"Best",40,3.01430117520952,6.87051625678938,0.931107426106435
25,3,"Best",40,2.18360741766533,6.06588537944675,0.0311680030235873
25,4,"Best",40,4.91958887438943,25.5792047079849,1.57619161580919
26,1,"Best",20,0.0637956243956281,42.1581940575856,2.20922329544452
