"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
23,4,"Cumulative",40,0.682649146039019,0.650797344290608,0.128194341728622
24,1,"Cumulative",20,0.681300650455783,0.543445514243372,0.0926387628034637
24,2,"Cumulative",20,0.5414306730786,0.639510314601265,0.105222984323698
24,3,"Cumulative",20,0.281482484176199,99.8500568543981,15.0795558073384
24,4,"Cumulative",20,0.550470227966511,0.646715332192805,0.111498803361137
24,1,"Cumulative",40,0.627866412431751,0.573633560454051,0.103073640623385
24,2,"Cumulative",40,0.644438913007889,0.534338911720889,0.0955619005137541
24,3,"Cumulative",40,0.60041485017731,0.542555927777164,0.0943997201008327
24,4,"Cumulative",40,0.578959321663747,0.614519839008459,0.100135933642603
25,1,"Best",20,1.58681844197263,4.11498216447261,0.512932292433406
25,2,"Best",20,1.39048790581273,1.83032811258236,0.238791144297963
25,3,"Best",20,1.40205774110122,3.50172764987038,0.472466983947551
25,4,"Best",20,1.35760291512363,2.2731192052492,0.410783535502539
25,1,"Best",40,1.55678208141335,4.95725618486354,0.593318727684944
25,2,"Best",40,1.49245710233051,99.2450309524361,13.4876177376282
25,3,"Best",40,1.00736150089319,1.84486860843662,0.372648786862741
25,4,"Best",40,0.948836217901152,1.46143348882669,0.306053682441752
26,1,"Best",20,0.933447967889137,0.571161272421903,0.133303053369314
26,2,"Best",20,0.872590419062073,0.465778281261488,0.119565272693959
26,3,"Best",20,0.910094109302049,0.605589587106075,0.135826938428409
26,4,"Best",20,1.04832694900819,0.550485613699979,0.12785723173508
26,1,"Best",40,0.638161119538124,0.600877285959122,0.130759423764332
26,2,"Best",40,0.444804762668531,0.963647563956348,0.209103873950952
26,3,"Best",40,0.470931953589478,0.899566377855254,0.196123625608066
26,4,"Best",40,0.271107626796776,99.6226349494929,22.398637058656
27,1,"Best",20,0.665684581333809,0.474364261709641,0.113928506027136
27,2,"Best",20,0.701763974224812,0.444782653041171,0.0972228662033922
27,3,"Best",20,0.772618569361942,0.433031178241289,0.0974050738757642
27,4,"Best",20,0.31676823061939,99.9725329963802,21.5952576167455
27,1,"Best",40,0.730349057878114,0.481476283095242,0.0981161516329213
27,2,"Best",40,0.74603021591646,0.500962675233206,0.10525252338562
27,3,"Best",40,0.82661443007081,0.434839078735357,0.0970235876742271
27,4,"Best",40,0.756651012418744,0.490526392445918,0.100241504581118
28,1,"Cumulative",20,0.87163325179356,0.517524762485318,0.0895051826223192
28,2,"Cumulative",20,0.91245934197649,0.455813865850114,0.0847407648202932
28,3,"Cumulative",20,0.855723116020009,0.816299259407078,0.144166826694437
28,4,"Cumulative",20,1.15474773913839,0.834553880461486,0.117422349147387
28,1,"Cumulative",40,0.599869815793911,2.08742205239119,0.38601414698704
28,2,"Cumulative",40,0.765622062459024,1.87527117618048,0.363891670176571
28,3,"Cumulative",40,0.643163058564401,0.7829647006413,0.148748766969259
28,4,"Cumulative",40,0.793223950476033,0.872002238017155,0.17428790130127
29,1,"Cumulative",20,0.631246719261957,0.625776929462571,0.120746005448375
29,2,"Cumulative",20,0.692262823194884,0.526281740464754,0.0917917285749162
29,3,"Cumulative",20,0.707070347247524,0.582633441232956,0.109837594539002
29,4,"Cumulative",20,0.659879207763868,0.588288091748289,0.116172885879478
29,1,"Cumulative",40,0.672465443574322,0.483501446928115,0.0771934981836181
29,2,"Cumulative",40,0.67810108142103,0.489044667950541,0.0781129131845382
29,3,"Cumulative",40,0.671713957481268,0.497559638026488,0.0763079541441578
29,4,"Cumulative",40,0.659903124291409,0.469733882975064,0.0758336430286458
30,1,"Cumulative",20,1.06947742929642,0.0067379487629898,0.0439369883365373
30,2,"Cumulative",20,0.798858149979489,0.137534181328807,0.0489432413877083
30,3,"Cumulative",20,1.50036329661443,0.00673794755693502,0.0464633160643063
30,4,"Cumulative",20,1.07145080176997,0.00673794711374666,0.049429951512637
30,1,"Cumulative",40,0.677883083509191,0.210564019822931,0.0585984495474545
30,2,"Cumulative",40,0.816002761273707,0.296747388810554,0.0624288859994983
30,3,"Cumulative",40,0.651809347432088,0.190237625150447,0.0509556876731864
30,4,"Cumulative",40,0.632745877586842,0.264715256332626,0.0618171796015781
31,1,"Best",20,0.670516268843922,0.414569852373411,0.0983764221341152
31,2,"Best",20,0.647084357832452,0.455921785120943,0.104113191113081
31,3,"Best",20,148.41288934407,21.1977501267541,0.108095495071188
31,4,"Best",20,0.728848651485495,0.603256047150923,0.125003038488594
31,1,"Best",40,0.654695418469564,0.452307155648954,0.088692472983696
31,2,"Best",40,0.717487306175195,0.46725844248761,0.0890491616590589
31,3,"Best",40,0.671729745590512,0.501069652956432,0.104270404425714
31,4,"Best",40,0.70228503112448,0.493402219143131,0.10066549335113
32,1,"Best",20,0.909294990438451,0.88710608223421,0.253378843678139
32,2,"Best",20,0.931487797085446,0.492361331905994,0.145432919696078
32,3,"Best",20,7.89730959413254,0.00674519136864204,0.0901772435090616
32,4,"Best",20,0.817661945097126,0.532810905567895,0.142769359238018
32,1,"Best",40,0.703462852234093,0.658226596149419,0.182707759936622
32,2,"Best",40,0.792943700887737,0.602757002196965,0.16388803828371
32,3,"Best",40,0.815081439459714,0.648352684339123,0.182802443801414
32,4,"Best",40,0.733154507305192,0.623238948562092,0.179170652216439
33,1,"Best",20,0.784843229629529,0.499987456795942,0.115232764499658
33,2,"Best",20,0.867958179267069,0.379821783634342,0.0869486153004405
33,3,"Best",20,0.693694569343417,0.432475541823609,0.0881090655990865
33,4,"Best",20,0.670903621530836,0.532200936757517,0.127061815567935
33,1,"Best",40,0.647881002942481,0.775981305335137,0.160971308895221
33,2,"Best",40,0.606715477901895,0.62181326835402,0.123536471337811
33,3,"Best",40,0.718901533337191,0.788742678100363,0.151314273924055
33,4,"Best",40,0.676650397491086,1.07985371369504,0.2181642702026
34,1,"Cumulative",20,0.779775233172227,0.48370675824738,0.0848342918507451
34,2,"Cumulative",20,0.74863966243265,0.537555308972912,0.0992561586823215
34,3,"Cumulative",20,0.772769783112399,0.520775034215586,0.0972990822802621
34,4,"Cumulative",20,0.734571704014274,0.545422496125882,0.0939204580300217
34,1,"Cumulative",40,0.704814651557054,0.497299573205078,0.0831693853118084
34,2,"Cumulative",40,0.671843549326063,0.487976524460443,0.0865308630832808
34,3,"Cumulative",40,0.697228376333438,0.521752591124665,0.0937398913427403
34,4,"Cumulative",40,0.669375718868243,0.53101656539687,0.0946966561233843
35,1,"Cumulative",20,1.12204642965014,0.00673794709706984,0.0333703164229712
35,2,"Cumulative",20,0.531959466212672,0.116700919852791,0.0372132727174439
35,3,"Cumulative",20,1.5172183030554,0.00677494103275438,0.0379198910957197
35,4,"Cumulative",20,1.02587656251289,0.00677688567303068,0.0431546930436426
35,1,"Cumulative",40,0.719478730845463,0.0799051987386611,0.0416412457033441
35,2,"Cumulative",40,1.03289679795635,0.00673794753183434,0.0382317711769962
35,3,"Cumulative",40,0.67922010439068,0.100427812599583,0.0371888542771966
35,4,"Cumulative",40,0.727097995634672,0.0569965347060151,0.038629360182646
36,1,"Cumulative",20,0.803780176935763,0.168830961334124,0.0534061654673659
36,2,"Cumulative",20,0.637677324314005,0.169791420458315,0.0378813866998686
36,3,"Cumulative",20,0.623419814342414,0.228462284816378,0.0550885819142468
36,4,"Cumulative",20,0.748969787797915,0.282187602196009,0.0636813563097827
36,1,"Cumulative",40,0.576497857735059,0.217024666923143,0.0520133706794039
36,2,"Cumulative",40,0.591131590193668,0.233375720208266,0.0519388738586929
36,3,"Cumulative",40,0.502541704278562,0.294030776789644,0.0555697275412623
36,4,"Cumulative",40,0.642291748493529,0.441838594970785,0.0900577490948563
37,1,"Cumulative",20,0.668215241616226,0.542291184716082,0.0871585194019776
37,2,"Cumulative",20,0.685312471940217,0.583919158274753,0.0938816014985161
37,3,"Cumulative",20,0.662868444808918,0.591679705886639,0.100703729117421
37,4,"Cumulative",20,0.668621647432657,0.522961954214742,0.0871392006036216
37,1,"Cumulative",40,0.655429213136803,0.603112504667728,0.12105639408221
37,2,"Cumulative",40,0.64310565772686,0.630669101143285,0.125897715907103
37,3,"Cumulative",40,0.716400846042445,0.647609877368896,0.11963357810886
37,4,"Cumulative",40,0.631691709475919,0.761262256101413,0.147928133328633
38,1,"Best",20,0.526106324720558,0.536747629241415,0.130417286042596
38,2,"Best",20,0.618021998729964,0.556322860077373,0.124634046536355
38,3,"Best",20,0.586581829441813,0.598717350941478,0.135307524898361
38,4,"Best",20,0.744135933561103,0.484331047312433,0.103097291428298
38,1,"Best",40,0.536315000234561,0.462448768259245,0.0926482222774849
38,2,"Best",40,0.523555121180174,0.443607574380292,0.0904662034963977
38,3,"Best",40,0.572628559841338,0.484156212810661,0.0977126945693259
38,4,"Best",40,0.56869365363891,0.600251185513437,0.120461549729122
39,1,"Best",20,0.80369283320134,0.450786422637525,0.0726463950582134
39,2,"Best",20,0.78273602851958,0.325501401975762,0.053060139699541
39,3,"Best",20,0.783345711959068,0.467002275259063,0.0803233035927609
39,4,"Best",20,0.838416050149124,0.453479149580351,0.0735727325262198
39,1,"Best",40,0.803062805954857,0.585246785067624,0.103870370950188
39,2,"Best",40,0.73953909822226,0.591658708787029,0.104663198703306
39,3,"Best",40,0.762913670268975,0.559643141582904,0.100815952858493
39,4,"Best",40,0.748951302941085,0.575420972450832,0.0959269548471603
40,1,"Best",20,0.319478268286908,99.7403258965693,27.2582165008802
40,2,"Best",20,0.782019303656228,0.62091476986049,0.130190682244531
40,3,"Best",20,0.804878108278734,0.618559801126671,0.140155161613856
40,4,"Best",20,1.13136244773828,0.479106984179532,0.111970680290468
40,1,"Best",40,0.656079444015612,0.560973031493944,0.167517230645158
40,2,"Best",40,0.629254637809562,0.595483915254516,0.167147672932885
40,3,"Best",40,0.641372297114453,0.643844121556989,0.18316360242655
40,4,"Best",40,0.73583365046211,0.529915955220678,0.161927506579408
41,1,"Best",20,0.779299908490645,0.510443586419461,0.0931069108069346
41,2,"Best",20,0.744162744218679,0.545315317264089,0.0987168021425883
41,3,"Best",20,0.823572291221674,0.39138797799011,0.0689371781366857
41,4,"Best",20,0.811545372772667,0.566278055522194,0.0941342901941419
41,1,"Best",40,0.756434383893716,0.587054041147798,0.110655189304039
41,2,"Best",40,0.755435490924613,0.535927956886153,0.11258067007291
41,3,"Best",40,0.815572086321479,0.576979398231391,0.116231577759703
41,4,"Best",40,0.803688029424544,0.61401912084783,0.117140090404711
42,1,"Cumulative",20,0.600541019933147,0.925325859679953,0.166168802764924
42,2,"Cumulative",20,0.508469670070266,1.08489164389032,0.212243597809955
42,3,"Cumulative",20,0.535755695904724,0.68466772434519,0.124742126221179
42,4,"Cumulative",20,0.301442129212459,21.0325637871354,3.38207050467815
42,1,"Cumulative",40,0.539401860458194,0.616647960734851,0.099329798730078
42,2,"Cumulative",40,0.535582453346445,0.674202830340648,0.111271980657534
42,3,"Cumulative",40,0.575558390417176,0.63814996299152,0.109094929752006
42,4,"Cumulative",40,0.549020501223381,0.70171700472798,0.114460007637169
43,1,"Cumulative",20,0.674196595820229,0.533746849233852,0.122247315237802
43,2,"Cumulative",20,0.714270960565255,0.54850614933596,0.113351827481841
43,3,"Cumulative",20,0.876168919805928,1.04291467410082,0.191998194475801
43,4,"Cumulative",20,1.17593769132361,0.624935160924171,0.127432668948519
43,1,"Cumulative",40,0.352910883852737,0.942175284739628,0.220132117171214
43,2,"Cumulative",40,0.469848285685224,0.480842337020638,0.109308545217774
43,3,"Cumulative",40,0.429078359017259,0.503531034567242,0.11524664095746
43,4,"Cumulative",40,0.488505892166029,0.508053279108757,0.123794112822924
44,1,"Cumulative",20,0.799981426233746,0.585168802960623,0.0796995748984324
