"participant","leaveoutindex","reward","horizon","kError","beta","tau"
14,2,"Best",40,0.006749428545561,27.6695954512873,15.7232036852387
14,3,"Best",40,0.00674022986600358,42.3510538196985,23.5625064225463
14,4,"Best",40,0.00673796857877549,43.6639519669017,28.2674379339251
15,1,"Cumulative",20,0.00674813178877176,44.7969447728371,22.6560759438202
15,2,"Cumulative",20,0.00674011404858223,44.3978223831703,22.3504881116811
15,3,"Cumulative",20,0.00674617659109852,44.4538025748648,22.012301309528
15,4,"Cumulative",20,0.00673928683478463,44.7331112503314,19.1786438096924
15,1,"Cumulative",40,0.00674137360138915,44.5206400722378,19.4495726300391
15,2,"Cumulative",40,0.00674210253646944,0.647307598430457,0.276718954633821
15,3,"Cumulative",40,0.00673935549139058,0.702750118684419,0.326431154213583
15,4,"Cumulative",40,0.00674664373945595,0.386077993408714,0.176495414567633
16,1,"Cumulative",20,0.00674020126920889,0.572701851965404,0.258341339023377
16,2,"Cumulative",20,0.525026482426421,24.5869176052107,11.3119306639594
16,3,"Cumulative",20,0.864835860629706,44.7375381495622,18.3048988860088
16,4,"Cumulative",20,0.79607869751367,6.42106745614793,2.52334669090287
16,1,"Cumulative",40,1.67718509636133,50.305949881053,18.1014040698191
16,2,"Cumulative",40,0.464221180394896,122.337467369135,17.7028877571412
16,3,"Cumulative",40,1.81704558511292,44.7220625158079,19.0378751691981
16,4,"Cumulative",40,2.02439856191852,47.0792129543072,19.6070998475833
17,1,"Cumulative",20,13.2400290346456,0.00729413502031875,0.00673961905481892
17,2,"Cumulative",20,0.00673797962078922,0.163507128122394,0.0848719495451825
17,3,"Cumulative",20,14.3050639143997,0.0103505328481687,0.00677793022039749
17,4,"Cumulative",20,15.5590282724916,0.0114398581430028,0.00692602814802749
17,1,"Cumulative",40,5.36420731488668,0.09801441141375,0.0449526353900683
17,2,"Cumulative",40,17.0135343987977,0.0131236397763251,0.00674204927930195
17,3,"Cumulative",40,5.07559653986227,0.0919743945628545,0.0455166857431455
17,4,"Cumulative",40,0.00673794706256757,0.136095270510641,0.0512418875839099
18,1,"Cumulative",20,0.00673862008287181,44.5346042037814,21.0018209781812
18,2,"Cumulative",20,0.00674531098722993,44.7031312073423,19.9096064546842
18,3,"Cumulative",20,0.006776977396648,45.153035860118,20.3148645502728
18,4,"Cumulative",20,0.00673990171095996,44.6675106438428,19.9330134218437
18,1,"Cumulative",40,0.006748073880572,44.623653162792,21.3942670447121
18,2,"Cumulative",40,0.00675526113147963,43.4369124568785,19.1688651327128
18,3,"Cumulative",40,0.00673976101586265,44.6752975624189,21.4631020691649
18,4,"Cumulative",40,0.00674613362653727,44.7221477759321,20.2367538185563
19,1,"Best",20,0.0529515522415235,64.4758453603981,21.0011374901809
19,2,"Best",20,1.37183721013735,1.28130283313968,0.633331517982682
19,3,"Best",20,1.20951724682482,44.7825883059272,18.5810090004818
19,4,"Best",20,1.37044429417126,44.962800178461,18.8003384690178
19,1,"Best",40,0.539307584783825,44.6934492905028,17.9919319839488
19,2,"Best",40,0.00673932423293321,0.404726139746864,0.159184666931217
19,3,"Best",40,0.209659857223828,0.380190855145003,0.146831762727089
19,4,"Best",40,0.188237734738376,0.476746736361899,0.194606559460097
20,1,"Best",20,0.00673796030523805,0.148572389153554,0.102372995698412
20,2,"Best",20,0.0067379669556698,0.116548100394305,0.089571564191504
20,3,"Best",20,0.0067383972585687,38.5325083650823,31.3198491962978
20,4,"Best",20,0.00673806737778739,0.160535458642677,0.10500044281012
20,1,"Best",40,0.00673875204626128,0.173040033237335,0.127477187027236
20,2,"Best",40,0.00673887080438469,0.238147751427891,0.138243348418551
20,3,"Best",40,0.00673907869596619,0.270968721165058,0.156225962272003
20,4,"Best",40,0.00675028938120518,43.7526312606911,25.5463143533311
21,1,"Best",20,0.00673865435077612,44.6815617996469,17.4721855395134
21,2,"Best",20,0.00673942909702542,44.5757264446773,21.3309186528666
21,3,"Best",20,0.00674143380798083,44.4046949328575,21.0196175359392
21,4,"Best",20,0.00673944363676193,44.6940667832516,19.2190650827455
21,1,"Best",40,0.00682725867196751,44.8137873306402,18.7914921114438
21,2,"Best",40,0.00674890472258754,45.2096432320404,18.6376324950877
21,3,"Best",40,0.00683970058067232,44.8602976474996,15.9154378482762
21,4,"Best",40,0.00674857990910567,44.5048542546756,16.9473107038518
22,1,"Best",20,0.88905401329326,44.7323341388023,16.3142491088804
22,2,"Best",20,0.74118573777501,46.2878878658936,17.5301889568333
22,3,"Best",20,0.00673872802107862,45.4996950306156,15.1468901598713
22,4,"Best",20,0.816116475736827,46.34737069696,16.2252875104294
22,1,"Best",40,0.00674402552040729,44.0982535391116,15.7757981388811
22,2,"Best",40,0.00673878341797833,44.5849644288888,17.8561996645493
22,3,"Best",40,0.00674392048498043,44.3274543884885,17.7541054267318
22,4,"Best",40,0.00674039030921355,41.2436547699486,16.5646384532855
23,1,"Cumulative",20,0.00674712276987244,44.6463702897333,24.6306623076612
23,2,"Cumulative",20,0.00673879492648315,44.6830038995775,26.4339815137001
23,3,"Cumulative",20,0.00673856017557948,44.7213575003314,23.4178981647255
23,4,"Cumulative",20,0.00674565497722837,44.4931045819488,22.1557868098603
23,1,"Cumulative",40,0.613974013327191,44.8875022039807,23.5266456277534
23,2,"Cumulative",40,0.926997163983202,44.7045742092225,22.5692846783553
23,3,"Cumulative",40,0.829760088745772,45.7433071186694,23.2888888533198
23,4,"Cumulative",40,0.0069203828808494,45.1256241303105,21.6161089837041
24,1,"Cumulative",20,0.0067396891874319,44.6625630152948,17.4686840514629
24,2,"Cumulative",20,0.00673947763564358,44.7011026318834,16.9604457242896
24,3,"Cumulative",20,0.0067381873809494,44.7804136360941,15.108026444099
24,4,"Cumulative",20,0.00674879506330758,44.5054184959434,17.7333666319751
24,1,"Cumulative",40,0.103903831349364,45.9598495280035,19.6920787837414
24,2,"Cumulative",40,0.155343845396768,54.6932161898371,19.9191186996607
24,3,"Cumulative",40,0.00673837484205752,44.5594636609097,19.2800317097119
24,4,"Cumulative",40,0.32777126658398,44.7368489236549,17.2758755932046
25,1,"Best",20,0.00674187590540522,44.549394886566,32.5018012806858
25,2,"Best",20,0.00674827564182347,44.2801701931756,28.2876388023056
25,3,"Best",20,0.00673799479146202,44.7189729132536,28.0455233658491
25,4,"Best",20,0.00673861398584814,44.2368188193101,34.0601037262074
25,1,"Best",40,0.00675081883574852,44.6989832767177,32.2841198601461
25,2,"Best",40,0.00673878885725203,44.7089266948307,34.9090115626849
25,3,"Best",40,0.00673835928910575,44.7070158650581,29.6813283531487
25,4,"Best",40,0.00674089755839316,44.6119530226768,29.4479056069958
26,1,"Best",20,0.00674102257926029,44.6527795079133,28.5767124535276
26,2,"Best",20,0.00674184297704085,44.1737400362176,31.4256511357848
26,3,"Best",20,0.00673935613493228,44.7537335797445,28.1184128475033
26,4,"Best",20,0.00674012740681799,44.7114852450601,32.1283548869274
26,1,"Best",40,0.619416944543646,8.27943202173027,4.20788143593251
26,2,"Best",40,0.237657311819897,0.711348282252748,0.345545830724762
26,3,"Best",40,0.607042350802477,1.17579582619338,0.573354377468486
26,4,"Best",40,0.00673829184747757,44.652052252195,22.453913111524
27,1,"Best",20,0.424974144336203,45.4813127451521,25.8059502662224
27,2,"Best",20,0.478943616493193,44.70797193498,23.3241497268043
27,3,"Best",20,0.468691178571174,44.6870377395539,23.9483687672716
27,4,"Best",20,0.0067409251742491,44.7467970519015,21.6030998056226
27,1,"Best",40,0.00674434661763334,44.7167033278419,23.4689403521365
27,2,"Best",40,0.00674896346621824,44.7761654697604,23.8858386452102
27,3,"Best",40,0.00674130874948655,44.8238816390707,28.0109780278887
27,4,"Best",40,0.00675417351112044,44.5368837359,23.8621877825768
28,1,"Cumulative",20,0.00673805477575435,44.0057286757033,24.3071956361278
28,2,"Cumulative",20,0.00673962269383947,44.6221469297131,25.7282024598576
28,3,"Cumulative",20,0.00673876365707259,44.4263191588267,23.854053459309
28,4,"Cumulative",20,0.00673822987744046,17.4086165463676,10.72614676212
28,1,"Cumulative",40,0.579013737865102,47.925844649959,19.1278266175791
28,2,"Cumulative",40,0.859332685150406,44.7480601543198,23.005957883086
