"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
24,2,"Cumulative",40,0.398463302033604,0.513430953410307,0.00673960099212671
24,3,"Cumulative",40,0.38189748237633,0.505054497125216,0.00673794706134625
24,4,"Cumulative",40,0.399440935955865,0.512304791010963,0.00674837991394997
25,1,"Best",20,0.812173763559143,1.1874952007062,0.228465107383069
25,2,"Best",20,0.373063988054816,0.305701312501433,0.00673796467846652
25,3,"Best",20,0.352692437349405,0.417591803825246,0.00673794800120127
25,4,"Best",20,0.360083701562885,0.416165637789615,0.00673797797576945
25,1,"Best",40,0.818617358235135,1.16866639951292,0.259866643234041
25,2,"Best",40,0.874406412959814,3.61806674561547,0.87225296843077
25,3,"Best",40,0.423957485552396,0.502262673843299,0.0249110103403524
25,4,"Best",40,0.35302351884513,0.524580610245625,0.00673797806139985
26,1,"Best",20,0.570694537942621,0.494812917342809,0.0358699673406394
26,2,"Best",20,0.410367652007445,0.523540450926521,0.00673827302384402
26,3,"Best",20,0.491679774877452,0.532576744821572,0.0279153768245731
26,4,"Best",20,0.751985001492471,0.402609740156214,0.0450632443805458
26,1,"Best",40,1.14130020034835,0.0596849022353527,0.190043568774748
26,2,"Best",40,0.476723338839387,0.452749712009534,0.116329270719931
26,3,"Best",40,0.449105020477013,0.558691953749284,0.259899033837849
26,4,"Best",40,0.215157928768893,99.9210650323642,38.8631717051219
27,1,"Best",20,0.456824614454587,0.446882637677649,0.00674575472588182
27,2,"Best",20,0.461171605978308,0.457848255474284,0.00673818167119464
27,3,"Best",20,0.469625240011856,0.456693359723725,0.00673930746089336
27,4,"Best",20,0.473135742290048,0.454458954120113,0.00673794939157873
27,1,"Best",40,0.434518398520391,0.51082813550784,0.00673795212719294
27,2,"Best",40,0.42946197762629,0.524380689919014,0.0067379480427044
27,3,"Best",40,0.421217930447569,0.524221854900138,0.00673794752160519
27,4,"Best",40,0.431345050063609,0.523544698844956,0.00673794735415096
28,1,"Cumulative",20,0.39840424511361,0.379596362880534,0.00673795906528663
28,2,"Cumulative",20,0.914709888794345,0.108669434644387,0.0695257465891333
28,3,"Cumulative",20,1.24193255720256,0.00674254085901074,0.121247276537977
28,4,"Cumulative",20,0.799892802607035,146.002228739572,0.00717663791455771
28,1,"Cumulative",40,0.536998193191084,0.445362037304303,0.128225817331463
28,2,"Cumulative",40,0.250256431399155,99.9902627941065,55.1554426468992
28,3,"Cumulative",40,0.356268018355765,0.539237184461614,0.00673798264843818
28,4,"Cumulative",40,0.299169801715929,99.9567207401576,55.1381990180365
29,1,"Cumulative",20,0.393859725768885,0.524138430379126,0.0067379504819429
29,2,"Cumulative",20,0.422467634535256,0.51459459604386,0.00673794955473912
29,3,"Cumulative",20,0.411750667766925,0.523667014536887,0.00673794926904258
29,4,"Cumulative",20,0.395415908650138,0.514680792823717,0.00673797086872759
29,1,"Cumulative",40,0.433738343515149,0.515841553044912,0.0067379470009735
29,2,"Cumulative",40,0.466971888065492,0.511284986846256,0.00673794720231347
