"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"59",59,"Best","Rough",828.321672557863,"LBMT","UCB",0.280339650051381,1.41,0.0259373903593266,NA,0.154931989923664,0.0888459246551859,"LBMT-UCB",3
"60",60,"Best","Smooth",901.298632915795,"LBMT","UCB",0.216935991099421,1.37,0.295467160973948,NA,0.282668986886904,0.144642981686164,"LBMT-UCB",3
"61",61,"Best","Smooth",975.161548693582,"LBMT","UCB",0.1527625985903,1.47,0.56910831035943,NA,24.9690352537627,12.2953358229216,"LBMT-UCB",3
"62",62,"Cumulative","Rough",820.864731096756,"LBMT","UCB",0.286818371156039,0.88,0.112627045371641,NA,2.44830035106317,1.41179191474369,"LBMT-UCB",3
"63",63,"Cumulative","Rough",855.601732059983,"LBMT","UCB",0.256638257442288,0.83,0.685789543429282,NA,0.327706418495335,0.14953012200985,"LBMT-UCB",3
"64",64,"Cumulative","Smooth",921.025400386674,"LBMT","UCB",0.199797030654732,1.37,0.0067385900398322,NA,0.118157192937483,0.0731539510912328,"LBMT-UCB",3
"65",65,"Best","Rough",835.624196261787,"LBMT","UCB",0.273995089793715,1.12,0.0704727670543669,NA,0.196418961884252,0.0943362618232857,"LBMT-UCB",3
"66",66,"Best","Rough",975.689167421883,"LBMT","UCB",0.152304194215251,1.06,0.585272943783932,NA,0.177178726393202,0.114085103297899,"LBMT-UCB",3
"67",67,"Best","Smooth",808.619286257589,"LBMT","UCB",0.297457427708813,1.47,0.667675261335076,NA,0.375044687752749,0.16857185796012,"LBMT-UCB",3
"68",68,"Best","Smooth",589.082643167324,"LBMT","UCB",0.488194701194614,1.14,0.603102846343468,NA,0.126933174274006,0.0598345094346895,"LBMT-UCB",3
"69",69,"Cumulative","Rough",941.153399627522,"LBMT","UCB",0.182309473033907,1.08,1.1797802802852,NA,0.153954789252439,0.0944753354934121,"LBMT-UCB",3
"70",70,"Cumulative","Rough",804.64801867995,"LBMT","UCB",0.300907734406498,0.96,0.00673838181820358,NA,0.201583219090524,0.0904022920758052,"LBMT-UCB",3
"71",71,"Cumulative","Smooth",754.398526626948,"LBMT","UCB",0.344565371570492,1.06,0.00674229838320026,NA,0.246517672273783,0.109701590207572,"LBMT-UCB",3
"72",72,"Cumulative","Smooth",767.822029515054,"LBMT","UCB",0.332902797589831,1.04,0.00675999740564278,NA,0.248518896484866,0.109863692406174,"LBMT-UCB",3
"73",73,"Best","Rough",694.771883335466,"LBMT","UCB",0.39637004166309,1.24,0.00676293487307375,NA,0.285823969631711,0.116104084967185,"LBMT-UCB",3
"74",74,"Best","Rough",1040.77077959025,"LBMT","UCB",0.0957601517979199,1.14,0.0541551200780509,NA,0.188675522521354,0.134615057889315,"LBMT-UCB",3
"75",75,"Best","Smooth",670.436295141879,"LBMT","UCB",0.417513226123688,1.19,0.00674150069025969,NA,0.696190429148429,0.255333382201379,"LBMT-UCB",3
"76",76,"Best","Smooth",913.828396953375,"LBMT","UCB",0.20604991305656,1.11,0.428093036783307,NA,0.216549314548208,0.111174569746392,"LBMT-UCB",3
"77",77,"Cumulative","Smooth",547.869916871627,"LBMT","UCB",0.524001038286713,1.25,0.187335122240248,NA,0.0923327420431332,0.0502526312592839,"LBMT-UCB",3
"78",78,"Best","Smooth",907.988088027037,"LBMT","UCB",0.211124075552824,1.41,0.985410333144963,NA,0.319426861546145,0.173085232812925,"LBMT-UCB",3
