"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"47",47,"Cumulative","Rough",688.011149535668,"LBMT","UCB",0.402243885380408,0.86,144.244221907547,NA,52.1743935629759,18.3744400903042,"LBMT-UCB"
"48",48,"Cumulative","Smooth",803.579663220534,"LBMT","UCB",0.301835940306771,1.13,8.04105040167617,NA,23.1874350253028,10.495018031601,"LBMT-UCB"
"49",49,"Cumulative","Smooth",607.591749327502,"LBMT","UCB",0.472113666183981,1.07,49.2761640529585,NA,22.3367591644989,8.3664796897298,"LBMT-UCB"
"50",50,"Best","Rough",729.986116967716,"LBMT","UCB",0.365775299863446,1.06,30.0456302871099,NA,0.0867952498169331,0.0356659589069456,"LBMT-UCB"
"51",51,"Best","Rough",687.165980248111,"LBMT","UCB",0.402978183232799,1.45,5.82852461659801,NA,44.6865314103204,16.4885761793195,"LBMT-UCB"
"52",52,"Best","Smooth",717.553454837929,"LBMT","UCB",0.376577014071268,1.4,10.0965134801881,NA,74.4195480132251,18.8652584163288,"LBMT-UCB"
"53",53,"Best","Smooth",924.782977553163,"LBMT","UCB",0.19653238192202,1.47,4.48099602540558,NA,46.0256067059135,21.331263707081,"LBMT-UCB"
"54",54,"Cumulative","Rough",733.409908800708,"LBMT","UCB",0.362800649663755,0.92,10.1393868267703,NA,95.3466216788358,19.0365333007123,"LBMT-UCB"
"55",55,"Cumulative","Rough",893.774378331645,"LBMT","UCB",0.223473195022156,0.93,5.33245770667709,NA,44.78526313427,23.7634528979424,"LBMT-UCB"
"56",56,"Cumulative","Smooth",768.865776872984,"LBMT","UCB",0.33199597163833,1.04,22.9299435560612,NA,67.7224096204828,21.0564897455188,"LBMT-UCB"
"57",57,"Cumulative","Smooth",825.30856336702,"LBMT","UCB",0.282957491991963,1.05,11.9988501774709,NA,21.3338684637697,10.3712402459523,"LBMT-UCB"
"58",58,"Best","Rough",638.653135812257,"LBMT","UCB",0.44512699058671,1.21,6.5424263397362,NA,44.9330999759461,16.8542498460967,"LBMT-UCB"
"59",59,"Best","Rough",943.782151722824,"LBMT","UCB",0.180025567257312,1.41,6.53349556063158,NA,22.3127680801286,11.6536694204159,"LBMT-UCB"
"60",60,"Best","Smooth",908.930725272171,"LBMT","UCB",0.210305095834942,1.37,4.26076064468353,NA,23.6967781017773,11.7092433258137,"LBMT-UCB"
"61",61,"Best","Smooth",814.952311963146,"LBMT","UCB",0.291955184261022,1.47,13.9101498372728,NA,43.0604898203849,18.8800629528804,"LBMT-UCB"
"62",62,"Cumulative","Rough",769.609699160963,"LBMT","UCB",0.331349638949185,0.88,8.51972188270521,NA,0.303458556679465,0.136873064072855,"LBMT-UCB"
"63",63,"Cumulative","Rough",794.925610945637,"LBMT","UCB",0.309354732214502,0.83,7.04932737277373,NA,27.4454717906782,10.2892934355694,"LBMT-UCB"
"64",64,"Cumulative","Smooth",760.896945338373,"LBMT","UCB",0.33891943178778,1.37,8.93553276875888,NA,44.6722232631599,19.745768887731,"LBMT-UCB"
"65",65,"Best","Rough",803.91741033985,"LBMT","UCB",0.301542499704969,1.12,8.04478346416673,NA,0.727973932316226,0.324715744301048,"LBMT-UCB"
"66",66,"Best","Rough",1028.89536767624,"LBMT","UCB",0.106077717276351,1.06,15.7837877142065,NA,15.7126225136971,10.7998542020346,"LBMT-UCB"
"67",67,"Best","Smooth",804.941763461832,"LBMT","UCB",0.300652523804713,1.47,9.14332805283348,NA,0.373664555261115,0.169591329797971,"LBMT-UCB"
"68",68,"Best","Smooth",957.788253449523,"LBMT","UCB",0.167856821220611,1.14,5.54414368750998,NA,0.541690217228868,0.285883859633716,"LBMT-UCB"
"69",69,"Cumulative","Rough",1063.17971166843,"LBMT","UCB",0.0762908798524444,1.08,2.50886285721654,NA,49.8486840566237,27.8421868133455,"LBMT-UCB"
"70",70,"Cumulative","Rough",801.774349344323,"LBMT","UCB",0.303404428563162,0.96,11.7024109212722,NA,44.7145723721976,20.7324739440117,"LBMT-UCB"
"71",71,"Cumulative","Smooth",614.020142465972,"LBMT","UCB",0.466528565843249,1.06,7.26959545607462,NA,0.227772953788287,0.0818386355092849,"LBMT-UCB"
"72",72,"Cumulative","Smooth",625.328033901398,"LBMT","UCB",0.456704072078078,1.04,18.370828962048,NA,20.0921885037626,7.50664045346591,"LBMT-UCB"
"73",73,"Best","Rough",621.705594454746,"LBMT","UCB",0.459851310797301,1.24,10.6000716729631,NA,67.0035907907724,14.7801120245273,"LBMT-UCB"
"74",74,"Best","Rough",1056.84342790409,"LBMT","UCB",0.0817959539586621,1.14,5.40085055685766,NA,0.180898076076667,0.130185908968279,"LBMT-UCB"
"75",75,"Best","Smooth",570.222219491711,"LBMT","UCB",0.504580967004438,1.19,81.7558759259295,NA,97.848087854178,14.799807554839,"LBMT-UCB"
"76",76,"Best","Smooth",780.622877956084,"LBMT","UCB",0.321781196678118,1.11,4.16686299970129,NA,69.3276645765552,17.4390333936221,"LBMT-UCB"
"77",77,"Cumulative","Smooth",999.551887383475,"LBMT","UCB",0.131571845941355,1.25,11.9514000329199,NA,0.0457805666565298,0.0308672141872526,"LBMT-UCB"
"78",78,"Best","Smooth",807.86895431957,"LBMT","UCB",0.298109329213968,1.41,22.7354709655065,NA,0.016623007086928,0.00735120251143525,"LBMT-UCB"
"79",79,"Cumulative","Smooth",924.440481090494,"LBMT","UCB",0.196829948836355,1.35,7.86025030999085,NA,45.0057230627922,19.2778889872955,"LBMT-UCB"
"80",80,"Cumulative","Smooth",723.717833007409,"LBMT","UCB",0.37122129455114,0.94,29.1958313565037,NA,43.4023072514604,18.2035105592509,"LBMT-UCB"
"81",1,"Cumulative","Rough",988.959879678019,"LRBF","UCB",0.140774367406752,0.89,NA,103.455760778332,128.494367117329,0.358220256521563,"LRBF-UCB"
"82",2,"Cumulative","Rough",935.949294441818,"LRBF","UCB",0.18683089059811,0.86,NA,137.926451186897,90.7019404427538,0.234227102509002,"LRBF-UCB"
"83",3,"Cumulative","Smooth",864.55508881198,"LRBF","UCB",0.248859424572371,1.19,NA,147.738472618643,126.792441031033,0.298632042992278,"LRBF-UCB"
"84",4,"Cumulative","Smooth",842.306654720078,"LRBF","UCB",0.268189253061518,1.27,NA,148.40662394446,132.363177054814,0.30593677747103,"LRBF-UCB"
"85",5,"Best","Rough",962.525263406872,"LRBF","UCB",0.163741224156624,0.86,NA,147.572520520093,46.2276526913949,0.133502576092468,"LRBF-UCB"
"86",6,"Best","Rough",987.260323994056,"LRBF","UCB",0.142250971096839,0.92,NA,73.6896783060496,70.9995271178385,0.216711981571096,"LRBF-UCB"
"87",7,"Best","Smooth",976.171315514475,"LRBF","UCB",0.151885295523429,1.39,NA,70.2977640919733,68.649241142565,0.237977480653892,"LRBF-UCB"
"88",8,"Best","Smooth",976.925504911129,"LRBF","UCB",0.151230042590776,1.38,NA,115.690059671336,101.154583582747,0.287222447126759,"LRBF-UCB"
"89",9,"Cumulative","Rough",830.72870827256,"LRBF","UCB",0.278248375342332,1.24,NA,74.3400197523106,29.2407040479147,0.124128279452194,"LRBF-UCB"
"90",10,"Cumulative","Rough",876.807524908876,"LRBF","UCB",0.238214293892661,1.1,NA,148.412291564974,104.677045973204,0.266105999553609,"LRBF-UCB"
"91",11,"Cumulative","Smooth",764.224708093122,"LRBF","UCB",0.336028213330059,1.07,NA,106.479202145851,147.712575803338,0.29963211314872,"LRBF-UCB"
"92",12,"Cumulative","Smooth",899.808225104563,"LRBF","UCB",0.218230883461328,1.05,NA,146.859086728817,145.893644823185,0.352505187574299,"LRBF-UCB"
"93",13,"Best","Rough",730.09339266086,"LRBF","UCB",0.365682096865834,1.16,NA,148.401832486184,128.019223237915,0.252969634061925,"LRBF-UCB"
"94",14,"Best","Rough",784.637796659817,"LRBF","UCB",0.318292965118969,1.12,NA,148.35627209538,148.401369083682,0.311158805689575,"LRBF-UCB"
"95",15,"Best","Smooth",857.230047426951,"LRBF","UCB",0.255223548585039,1.29,NA,146.351593019566,144.268548934481,0.349646493488015,"LRBF-UCB"
"96",16,"Best","Smooth",621.603177621458,"LRBF","UCB",0.459940292332526,1.2,NA,148.408741250005,148.392662702162,0.25573701892148,"LRBF-UCB"
"97",17,"Cumulative","Rough",766.43660095564,"LRBF","UCB",0.334106482142497,0.84,NA,148.363910232766,148.295936622751,0.274281134381795,"LRBF-UCB"
"98",18,"Cumulative","Rough",1038.80727882395,"LRBF","UCB",0.0974660755898624,1.17,NA,107.667654160988,132.229722643984,0.424650897147603,"LRBF-UCB"
