"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"68",9,"Cumulative","Rough",20,4,450.817737701163,0.608321668229199,"LBMT","UCB",2.66654815285685,NA,0.0661552627961478,0.0293383562589523,63.6653242045648,1.24
"69",9,"Cumulative","Rough",40,1,450.817737701163,0.608321668229199,"LBMT","UCB",0.111199537805788,NA,0.11797833960097,0.0415219030357178,88.0368632857585,1.24
"70",9,"Cumulative","Rough",40,2,450.817737701163,0.608321668229199,"LBMT","UCB",0.00673808249321057,NA,0.113491496943559,0.0428928734817034,33.140528493094,1.24
"71",9,"Cumulative","Rough",40,3,450.817737701163,0.608321668229199,"LBMT","UCB",0.239196219155943,NA,0.115699631131629,0.0430136332832939,56.7760410339548,1.24
"72",9,"Cumulative","Rough",40,4,450.817737701163,0.608321668229199,"LBMT","UCB",0.0202736016010523,NA,0.111082272029613,0.0408644216723145,46.5280686020371,1.24
"73",10,"Cumulative","Rough",20,1,676.943531842989,0.411859625117381,"LBMT","UCB",0.00673820772116308,NA,0.157384865616975,0.0676138449510282,41.9935767461751,1.1
"74",10,"Cumulative","Rough",20,2,676.943531842989,0.411859625117381,"LBMT","UCB",0.163123792975474,NA,0.146299449883724,0.0572194591565287,73.9654525023391,1.1
"75",10,"Cumulative","Rough",20,3,676.943531842989,0.411859625117381,"LBMT","UCB",0.0308924474033179,NA,0.124798858141239,0.0556635256487292,49.7713605167198,1.1
"76",10,"Cumulative","Rough",20,4,676.943531842989,0.411859625117381,"LBMT","UCB",0.115176290955688,NA,0.139360969877039,0.0593499118531161,61.7090661578863,1.1
"77",10,"Cumulative","Rough",40,1,676.943531842989,0.411859625117381,"LBMT","UCB",0.00673797849946789,NA,0.12788343617804,0.0648037824576664,120.047411667036,1.1
"78",10,"Cumulative","Rough",40,2,676.943531842989,0.411859625117381,"LBMT","UCB",0.268813332733287,NA,0.131572884788091,0.0671831155123146,95.6470716985357,1.1
"79",10,"Cumulative","Rough",40,3,676.943531842989,0.411859625117381,"LBMT","UCB",0.655373626407513,NA,0.113557723629197,0.065553376981486,100.270407560889,1.1
"80",10,"Cumulative","Rough",40,4,676.943531842989,0.411859625117381,"LBMT","UCB",0.202060336191505,NA,0.119952434524146,0.0640354072480087,133.539184993408,1.1
"81",11,"Cumulative","Smooth",20,1,857.90996304678,0.254632826008155,"LBMT","UCB",0.482895990790243,NA,0.324250474289899,0.163824248610072,77.787497410058,1.07
"82",11,"Cumulative","Smooth",20,2,857.90996304678,0.254632826008155,"LBMT","UCB",0.0308938770512454,NA,0.206876335538142,0.103976961625861,78.9679093205009,1.07
"83",11,"Cumulative","Smooth",20,3,857.90996304678,0.254632826008155,"LBMT","UCB",0.843390000419852,NA,0.632175196203513,0.322401314265313,75.395545787701,1.07
"84",11,"Cumulative","Smooth",20,4,857.90996304678,0.254632826008155,"LBMT","UCB",0.246778875064398,NA,44.7260883949443,24.2070753857752,68.951596320591,1.07
"85",11,"Cumulative","Smooth",40,1,857.90996304678,0.254632826008155,"LBMT","UCB",0.00674093226865878,NA,0.198996320224514,0.0972487065875584,125.631005720911,1.07
"86",11,"Cumulative","Smooth",40,2,857.90996304678,0.254632826008155,"LBMT","UCB",0.006741746280896,NA,0.212647398978555,0.0898446561613021,185.01742962267,1.07
"87",11,"Cumulative","Smooth",40,3,857.90996304678,0.254632826008155,"LBMT","UCB",0.00673802882288363,NA,0.194646035856011,0.0945550244551392,127.583350668768,1.07
"88",11,"Cumulative","Smooth",40,4,857.90996304678,0.254632826008155,"LBMT","UCB",0.00673911379055623,NA,0.22628352511785,0.111717809641928,118.57562819558,1.07
"89",12,"Cumulative","Smooth",20,1,965.651980612869,0.161024677586365,"LBMT","UCB",1.3741951827379,NA,45.1340343756066,27.3076307395863,79.0905716431839,1.05
"90",12,"Cumulative","Smooth",20,2,965.651980612869,0.161024677586365,"LBMT","UCB",0.633612134223744,NA,0.279916754407417,0.154442843768875,94.6235692582916,1.05
"91",12,"Cumulative","Smooth",20,3,965.651980612869,0.161024677586365,"LBMT","UCB",1.44992020290792,NA,0.408553400506632,0.235695914357183,86.412707110567,1.05
"92",12,"Cumulative","Smooth",20,4,965.651980612869,0.161024677586365,"LBMT","UCB",1.27884578693151,NA,0.559942854970456,0.373076588027368,71.1107475958226,1.05
"93",12,"Cumulative","Smooth",40,1,965.651980612869,0.161024677586365,"LBMT","UCB",0.00673857869298344,NA,0.192029720595819,0.106895173112242,162.824355461924,1.05
"94",12,"Cumulative","Smooth",40,2,965.651980612869,0.161024677586365,"LBMT","UCB",0.00673800278497396,NA,0.23027488694346,0.127900800558432,162.11100500742,1.05
"95",12,"Cumulative","Smooth",40,3,965.651980612869,0.161024677586365,"LBMT","UCB",0.00673837746550762,NA,0.200607827542971,0.106886495476923,175.152548054427,1.05
"96",12,"Cumulative","Smooth",40,4,965.651980612869,0.161024677586365,"LBMT","UCB",0.00673826803162852,NA,0.169061845856041,0.107744291207986,134.326476481233,1.05
"97",13,"Best","Rough",20,1,718.935717403066,0.375376080189777,"LBMT","UCB",0.0067379478130064,NA,0.188817692389656,0.0694689937754787,57.4746885049557,1.16
"98",13,"Best","Rough",20,2,718.935717403066,0.375376080189777,"LBMT","UCB",0.00673796493980515,NA,0.183817619123248,0.0708475605485933,52.2892310569522,1.16
"99",13,"Best","Rough",20,3,718.935717403066,0.375376080189777,"LBMT","UCB",0.00674870444357396,NA,0.201056495773883,0.0802875876101633,32.5927073691741,1.16
"100",13,"Best","Rough",20,4,718.935717403066,0.375376080189777,"LBMT","UCB",0.00673795726465774,NA,0.19114310048061,0.0689226666454324,62.0626675407573,1.16
"101",13,"Best","Rough",40,1,718.935717403066,0.375376080189777,"LBMT","UCB",0.00673862243630085,NA,0.217797971722803,0.0951829514315859,124.962064805929,1.16
"102",13,"Best","Rough",40,2,718.935717403066,0.375376080189777,"LBMT","UCB",0.00673846918856558,NA,0.222661812160305,0.0980875904278962,117.21096466767,1.16
"103",13,"Best","Rough",40,3,718.935717403066,0.375376080189777,"LBMT","UCB",0.00673830805383987,NA,0.303080906154735,0.136757834689748,113.207236595186,1.16
"104",13,"Best","Rough",40,4,718.935717403066,0.375376080189777,"LBMT","UCB",0.00673828502120333,NA,0.225454273001058,0.0907901275637993,159.136156862442,1.16
"105",14,"Best","Rough",20,1,799.839217870285,0.305085704618034,"LBMT","UCB",0.749547409633471,NA,44.7641794348987,21.7619043529798,72.2774293082557,1.12
"106",14,"Best","Rough",20,2,799.839217870285,0.305085704618034,"LBMT","UCB",1.5893366682852,NA,1.08756236696289,0.52423837635265,71.6757901015369,1.12
"107",14,"Best","Rough",20,3,799.839217870285,0.305085704618034,"LBMT","UCB",1.57403286221911,NA,0.460784333372809,0.216211786069455,77.6695785475839,1.12
"108",14,"Best","Rough",20,4,799.839217870285,0.305085704618034,"LBMT","UCB",0.550279842621368,NA,0.274080975687537,0.137957034879674,67.2553196235901,1.12
"109",14,"Best","Rough",40,1,799.839217870285,0.305085704618034,"LBMT","UCB",0.00673836646530373,NA,0.196063748633395,0.0840469919601561,130.718992131709,1.12
"110",14,"Best","Rough",40,2,799.839217870285,0.305085704618034,"LBMT","UCB",0.214482654139449,NA,0.22514337971599,0.0935493928626871,141.705532320124,1.12
"111",14,"Best","Rough",40,3,799.839217870285,0.305085704618034,"LBMT","UCB",0.315257826999077,NA,0.281440330156413,0.124365212260224,118.435933437536,1.12
"112",14,"Best","Rough",40,4,799.839217870285,0.305085704618034,"LBMT","UCB",0.00694873124504126,NA,0.191910340421938,0.0849933639451999,120.100642399949,1.12
"113",15,"Best","Smooth",20,1,957.294388043918,0.168285900118822,"LBMT","UCB",0.00674512179222261,NA,44.4351319460391,27.8291338610854,87.2142148411158,1.29
"114",15,"Best","Smooth",20,2,957.294388043918,0.168285900118822,"LBMT","UCB",0.00674001409758923,NA,44.6650124684539,28.4348148658493,84.9689316719795,1.29
"115",15,"Best","Smooth",20,3,957.294388043918,0.168285900118822,"LBMT","UCB",0.00674993870023191,NA,44.6955812314542,33.1298936696614,73.4624225737209,1.29
"116",15,"Best","Smooth",20,4,957.294388043918,0.168285900118822,"LBMT","UCB",0.00674352983669795,NA,44.6173089905582,26.4121220293665,93.6026266966777,1.29
"117",15,"Best","Smooth",40,1,957.294388043918,0.168285900118822,"LBMT","UCB",0.00791642269440713,NA,40.0838169299208,21.9729573953242,156.40180627446,1.29
"118",15,"Best","Smooth",40,2,957.294388043918,0.168285900118822,"LBMT","UCB",0.00677778730054934,NA,45.2687442326218,24.7055591039099,154.416254913054,1.29
"119",15,"Best","Smooth",40,3,957.294388043918,0.168285900118822,"LBMT","UCB",0.00673801231496219,NA,44.4586869836626,24.5085279378607,155.950281517078,1.29
"120",15,"Best","Smooth",40,4,957.294388043918,0.168285900118822,"LBMT","UCB",0.00680634578677881,NA,45.0632504700629,24.9114456809273,151.277849555832,1.29
"121",16,"Best","Smooth",20,1,592.485997583551,0.485237807379899,"LBMT","UCB",0.300330942851777,NA,87.1288580515115,18.0113870057021,45.1045265077172,1.2
"122",16,"Best","Smooth",20,2,592.485997583551,0.485237807379899,"LBMT","UCB",0.649151891772017,NA,52.3067305130305,17.4334792144601,50.0037328859962,1.2
"123",16,"Best","Smooth",20,3,592.485997583551,0.485237807379899,"LBMT","UCB",0.75910529791358,NA,44.7147202442864,16.4573454799885,63.6288320490377,1.2
"124",16,"Best","Smooth",20,4,592.485997583551,0.485237807379899,"LBMT","UCB",0.362147419025349,NA,0.944264317270319,0.353130403549072,61.4527127770591,1.2
"125",16,"Best","Smooth",40,1,592.485997583551,0.485237807379899,"LBMT","UCB",0.00673959820345037,NA,0.214078423325557,0.0753689517919088,81.2659587403916,1.2
"126",16,"Best","Smooth",40,2,592.485997583551,0.485237807379899,"LBMT","UCB",0.00674040685882528,NA,0.228978973344382,0.0766811955327471,97.4567975972597,1.2
"127",16,"Best","Smooth",40,3,592.485997583551,0.485237807379899,"LBMT","UCB",0.268053962133502,NA,0.349383297467943,0.118303370335435,102.751807824801,1.2
"128",16,"Best","Smooth",40,4,592.485997583551,0.485237807379899,"LBMT","UCB",0.00673818203801648,NA,0.234469940644244,0.0807261687814744,90.8216292012885,1.2
"129",17,"Cumulative","Rough",20,1,714.810992849179,0.378959712991181,"LBMT","UCB",1.27848812664663,NA,1.12293874520472,0.427483726966536,62.635172389499,0.84
"130",17,"Cumulative","Rough",20,2,714.810992849179,0.378959712991181,"LBMT","UCB",1.42297232531504,NA,2.07419001127309,0.772472050599289,63.8127271183983,0.84
"131",17,"Cumulative","Rough",20,3,714.810992849179,0.378959712991181,"LBMT","UCB",1.21356746084478,NA,2.36420893950521,0.940857506978257,48.9854197636179,0.84
"132",17,"Cumulative","Rough",20,4,714.810992849179,0.378959712991181,"LBMT","UCB",0.844172698007978,NA,0.572036249678029,0.227233212321626,51.2213000848778,0.84
"133",17,"Cumulative","Rough",40,1,714.810992849179,0.378959712991181,"LBMT","UCB",0.191089460073831,NA,0.249056343674223,0.103487682649481,124.456832389365,0.84
"134",17,"Cumulative","Rough",40,2,714.810992849179,0.378959712991181,"LBMT","UCB",0.523580404376265,NA,0.3608598695939,0.15356886946052,107.492858546948,0.84
"135",17,"Cumulative","Rough",40,3,714.810992849179,0.378959712991181,"LBMT","UCB",0.463830923271946,NA,0.30207297810569,0.121218195613615,136.628963370366,0.84
"136",17,"Cumulative","Rough",40,4,714.810992849179,0.378959712991181,"LBMT","UCB",0.463305808238398,NA,0.238700643296807,0.0999191424340076,119.577719186107,0.84
"137",18,"Cumulative","Rough",20,1,584.730461129738,0.491975953034298,"LBMT","UCB",0.00673795338444223,NA,0.0838589021711806,0.0513175797195987,62.6494075935723,1.17
"138",18,"Cumulative","Rough",20,2,584.730461129738,0.491975953034298,"LBMT","UCB",0.00673795654840315,NA,0.0914866575281124,0.0579928642009684,65.5476170285188,1.17
"139",18,"Cumulative","Rough",20,3,584.730461129738,0.491975953034298,"LBMT","UCB",0.431809722789095,NA,0.089774755342698,0.0596841587552513,79.095374644403,1.17
"140",18,"Cumulative","Rough",20,4,584.730461129738,0.491975953034298,"LBMT","UCB",0.474067541394367,NA,0.10743647548936,0.0632638414470528,74.1021216881388,1.17
"141",18,"Cumulative","Rough",40,1,584.730461129738,0.491975953034298,"LBMT","UCB",2.22050502362395,NA,0.0852749092860926,0.0525062004872354,57.6373764625248,1.17
"142",18,"Cumulative","Rough",40,2,584.730461129738,0.491975953034298,"LBMT","UCB",2.55025064539783,NA,0.106068962470826,0.0573713354954518,71.3777974194558,1.17
"143",18,"Cumulative","Rough",40,3,584.730461129738,0.491975953034298,"LBMT","UCB",1.18856498646509,NA,0.101648043214128,0.0591986671764237,46.0706502618581,1.17
"144",18,"Cumulative","Rough",40,4,584.730461129738,0.491975953034298,"LBMT","UCB",0.00673794705830414,NA,0.113274373596065,0.0555225939588097,128.250116031266,1.17
