"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
7,7,"Cumulative","Rough",5,7.42175904369432,0.01082862132285,0.00673795660616381
7,8,"Cumulative","Rough",5,8.55818409266173,0.00933450054052443,0.00673814024940985
7,1,"Cumulative","Rough",10,7.18590078826752,0.0600278523265218,0.00673798614310787
7,2,"Cumulative","Rough",10,7.34414109418582,0.0600898178543955,0.00673799934043383
7,3,"Cumulative","Rough",10,7.44897766112096,0.0625235923467486,0.00673795596151928
7,4,"Cumulative","Rough",10,7.42846323490113,0.0566900385040649,0.00673797358660937
7,5,"Cumulative","Rough",10,5.74354944696626,0.0848742654477361,0.00673794723390859
7,6,"Cumulative","Rough",10,7.55387536810281,0.0467991975157977,0.00673796846041229
7,7,"Cumulative","Rough",10,7.68609371846246,0.0475105340436674,0.00673801724527346
7,8,"Cumulative","Rough",10,6.67284912332774,0.106016085440996,0.00673794728043606
8,1,"Cumulative","Rough",5,3.04270777262705,0.00673795540887154,0.0338545469874825
8,2,"Cumulative","Rough",5,2.34469694944584,0.0067379499716501,0.046948551621715
8,3,"Cumulative","Rough",5,2.52060999887214,0.00673795896721739,0.0420503548501337
8,4,"Cumulative","Rough",5,2.17173901792817,0.00673794718050395,0.0513694485712005
8,5,"Cumulative","Rough",5,2.34432956416727,0.00673795623999246,0.0462349045857008
8,6,"Cumulative","Rough",5,2.50481666264772,0.00673891374273001,0.0423499612297139
8,7,"Cumulative","Rough",5,0.00673805403872925,0.00673794731325007,0.0647357188492735
8,8,"Cumulative","Rough",5,2.25331868196503,0.00673795252937895,0.0503757618066642
8,1,"Cumulative","Rough",10,8.35507734951728,0.00743622343192098,0.00673796421870468
8,2,"Cumulative","Rough",10,9.23270918092427,0.00673981812753243,0.00673797253892611
8,3,"Cumulative","Rough",10,9.20864688382573,0.00673801943614457,0.00673817091423026
8,4,"Cumulative","Rough",10,9.38802153497542,0.00686341968436033,0.00673795179058716
8,5,"Cumulative","Rough",10,9.21642098286195,0.00673845456692473,0.00673803902985316
8,6,"Cumulative","Rough",10,9.29834403439706,0.00673977496842636,0.0067380109216467
